compsyn_id,component_id,component_synonym,syn_type
861871,40,PRKM1,GENE_SYMBOL_OTHER
861872,40,PRKM2,GENE_SYMBOL_OTHER
1162806,41,GABA(A) receptor subunit alpha-6,UNIPROT
861889,41,Gabra-6,GENE_SYMBOL_OTHER
1162803,41,Gabra6,GENE_SYMBOL
1162805,41,Gamma-aminobutyric acid receptor subunit alpha-6,UNIPROT
1162807,42,CHRNB4,GENE_SYMBOL
1162808,42,Neuronal acetylcholine receptor subunit beta-4,UNIPROT
1162809,43,CHRNA3,GENE_SYMBOL
861896,43,NACHRA3,GENE_SYMBOL_OTHER
1162811,43,Neuronal acetylcholine receptor subunit alpha-3,UNIPROT
1162817,44,GluN1,UNIPROT
1162814,44,"Glutamate receptor ionotropic, NMDA 1",UNIPROT
1162815,44,Glutamate [NMDA] receptor subunit zeta-1,UNIPROT
1162812,44,Grin1,GENE_SYMBOL
1162816,44,N-methyl-D-aspartate receptor subunit NR1,UNIPROT
1162818,44,NMD-R1,UNIPROT
861900,44,Nmdar1,GENE_SYMBOL_OTHER
1162819,45,Adra1a,GENE_SYMBOL
861908,45,Adra1c,GENE_SYMBOL_OTHER
1162821,45,Alpha-1A adrenergic receptor,UNIPROT
1162824,45,Alpha-1A adrenoceptor,UNIPROT
1162822,45,Alpha-1A adrenoreceptor,UNIPROT
1162823,45,Alpha-1C adrenergic receptor,UNIPROT
1162825,46,CHRNA4,GENE_SYMBOL
861915,46,NACRA4,GENE_SYMBOL_OTHER
1162827,46,Neuronal acetylcholine receptor subunit alpha-4,UNIPROT
1162220,47,GABA(A) receptor subunit beta-2,UNIPROT
1162218,47,GABRB2,GENE_SYMBOL
1162219,47,Gamma-aminobutyric acid receptor subunit beta-2,UNIPROT
1162224,48,GABA(A) receptor subunit alpha-1,UNIPROT
860862,48,Gabra-1,GENE_SYMBOL_OTHER
1162221,48,Gabra1,GENE_SYMBOL
1162223,48,Gamma-aminobutyric acid receptor subunit alpha-1,UNIPROT
1162228,49,GABA(A) receptor subunit beta-3,UNIPROT
860867,49,Gabrb-3,GENE_SYMBOL_OTHER
1162225,49,Gabrb3,GENE_SYMBOL
1162227,49,Gamma-aminobutyric acid receptor subunit beta-3,UNIPROT
1162232,50,GABA(A) receptor subunit beta-2,UNIPROT
860872,50,Gabrb-2,GENE_SYMBOL_OTHER
1162229,50,Gabrb2,GENE_SYMBOL
1162231,50,Gamma-aminobutyric acid receptor subunit beta-2,UNIPROT
1162240,51,2.7.11.1,EC_NUMBER
1162233,51,CDK5,GENE_SYMBOL
860877,51,CDKN5,GENE_SYMBOL_OTHER
1162236,51,Cell division protein kinase 5,UNIPROT
1162235,51,Cyclin-dependent-like kinase 5,UNIPROT
1162237,51,Serine/threonine-protein kinase PSSALRE,UNIPROT
1162238,51,Tau protein kinase II catalytic subunit,UNIPROT
1162239,51,TPKII catalytic subunit,UNIPROT
1162245,52,GluN2A,UNIPROT
1162242,52,"Glutamate receptor ionotropic, NMDA 2A",UNIPROT
1162243,52,Glutamate [NMDA] receptor subunit epsilon-1,UNIPROT
1162241,52,Grin2a,GENE_SYMBOL
1162244,52,N-methyl D-aspartate receptor subtype 2A,UNIPROT
1162246,52,NMDAR2A,UNIPROT
1162247,52,NR2A,UNIPROT
1162252,53,GluN2B,UNIPROT
1162249,53,"Glutamate receptor ionotropic, NMDA 2B",UNIPROT
1162250,53,Glutamate [NMDA] receptor subunit epsilon-2,UNIPROT
1162248,53,Grin2b,GENE_SYMBOL
1162251,53,N-methyl D-aspartate receptor subtype 2B,UNIPROT
1162253,53,NMDAR2B,UNIPROT
1162254,53,NR2B,UNIPROT
1162259,54,GluN2C,UNIPROT
1162256,54,"Glutamate receptor ionotropic, NMDA 2C",UNIPROT
1162257,54,Glutamate [NMDA] receptor subunit epsilon-3,UNIPROT
1162255,54,Grin2c,GENE_SYMBOL
1162258,54,N-methyl D-aspartate receptor subtype 2C,UNIPROT
1162260,54,NMDAR2C,UNIPROT
1162261,54,NR2C,UNIPROT
1162269,55,2.3.2.27,EC_NUMBER
1162264,55,Double minute 2 protein,UNIPROT
1162263,55,E3 ubiquitin-protein ligase Mdm2,UNIPROT
1162268,55,Hdm2,UNIPROT
1162262,55,MDM2,GENE_SYMBOL
1162265,55,Oncoprotein Mdm2,UNIPROT
1162267,55,p53-binding protein Mdm2,UNIPROT
1162266,55,RING-type E3 ubiquitin transferase Mdm2,UNIPROT
1162275,56,GluN1,UNIPROT
1162272,56,"Glutamate receptor ionotropic, NMDA 1",UNIPROT
1162273,56,Glutamate [NMDA] receptor subunit zeta-1,UNIPROT
1162270,56,GRIN1,GENE_SYMBOL
1162274,56,N-methyl-D-aspartate receptor subunit NR1,UNIPROT
1162276,56,NMD-R1,UNIPROT
860915,56,NMDAR1,GENE_SYMBOL_OTHER
1162279,57,Acetylcholine receptor subunit delta,UNIPROT
860923,57,ACHRD,GENE_SYMBOL_OTHER
1162277,57,CHRND,GENE_SYMBOL
1162285,58,GluN2A,UNIPROT
1162282,58,"Glutamate receptor ionotropic, NMDA 2A",UNIPROT
1162283,58,Glutamate [NMDA] receptor subunit epsilon-1,UNIPROT
1162280,58,GRIN2A,GENE_SYMBOL
1162288,58,hNR2A,UNIPROT
1162284,58,N-methyl D-aspartate receptor subtype 2A,UNIPROT
860927,58,NMDAR2A,GENE_SYMBOL_OTHER
1162286,58,NMDAR2A,UNIPROT
1162287,58,NR2A,UNIPROT
1162295,59,GluN2B,UNIPROT
1162291,59,"Glutamate receptor ionotropic, NMDA 2B",UNIPROT
1162292,59,Glutamate [NMDA] receptor subunit epsilon-2,UNIPROT
1162289,59,GRIN2B,GENE_SYMBOL
1162299,59,hNR3,UNIPROT
1162293,59,N-methyl D-aspartate receptor subtype 2B,UNIPROT
1162294,59,N-methyl-D-aspartate receptor subunit 3,UNIPROT
860937,59,NMDAR2B,GENE_SYMBOL_OTHER
1162296,59,NMDAR2B,UNIPROT
1162297,59,NR2B,UNIPROT
1162298,59,NR3,UNIPROT
1162630,60,CDK5 activator 1,UNIPROT
861657,60,CDK5R,GENE_SYMBOL_OTHER
1162621,60,CDK5R1,GENE_SYMBOL
1162624,60,Cyclin-dependent kinase 5 activator 1,UNIPROT
1162626,60,"Cyclin-dependent kinase 5 activator 1, p25",UNIPROT
1162625,60,"Cyclin-dependent kinase 5 activator 1, p35",UNIPROT
1162627,60,Cyclin-dependent kinase 5 regulatory subunit 1,UNIPROT
861658,60,NCK5A,GENE_SYMBOL_OTHER
1162633,60,p23,UNIPROT
1162632,60,p25,UNIPROT
1162631,60,p35,UNIPROT
1162629,60,Tau protein kinase II 23 kDa subunit,UNIPROT
1162628,60,TPKII regulatory subunit,UNIPROT
861672,61,GluN2D,GENE_SYMBOL_OTHER
1162639,61,GluN2D,UNIPROT
1162636,61,"Glutamate receptor ionotropic, NMDA 2D",UNIPROT
1162637,61,Glutamate [NMDA] receptor subunit epsilon-4,UNIPROT
1162634,61,Grin2d,GENE_SYMBOL
1162638,61,N-methyl D-aspartate receptor subtype 2D,UNIPROT
1162640,61,NMDAR2D,UNIPROT
1162641,61,NR2D,UNIPROT
1162645,62,GluN3B,UNIPROT
1162643,62,"Glutamate receptor ionotropic, NMDA 3B",UNIPROT
1162642,62,Grin3b,GENE_SYMBOL
1162644,62,N-methyl-D-aspartate receptor subtype 3B,UNIPROT
1162646,62,NMDAR3B,UNIPROT
1162647,62,NR3B,UNIPROT
1162649,63,GABA theta subunit,UNIPROT
1162648,63,Gabrq,GENE_SYMBOL
1162652,64,GABA(A) receptor subunit epsilon,UNIPROT
1162650,64,Gabre,GENE_SYMBOL
1162651,64,Gamma-aminobutyric acid receptor subunit epsilon,UNIPROT
1162660,65,GluN3A,UNIPROT
1162655,65,Glutamate receptor chi-1,UNIPROT
1162654,65,"Glutamate receptor ionotropic, NMDA 3A",UNIPROT
1162653,65,Grin3a,GENE_SYMBOL
1162656,65,N-methyl-D-aspartate receptor,UNIPROT
1162657,65,N-methyl-D-aspartate receptor subtype 3A,UNIPROT
1162658,65,NMDAR-L,UNIPROT
1162659,65,NMDAR-L1,UNIPROT
1162661,65,NMDAR3A,UNIPROT
1162662,65,NR3A,UNIPROT
1162440,66,3.1.3.25,EC_NUMBER
1162438,66,IMP 2,UNIPROT
861110,66,IMP.18P,GENE_SYMBOL_OTHER
1162433,66,IMPA2,GENE_SYMBOL
1162439,66,IMPase 2,UNIPROT
1162435,66,Inositol monophosphatase 2,UNIPROT
1162436,66,Inositol-1(or 4)-monophosphatase 2,UNIPROT
1162437,66,Myo-inositol monophosphatase A2,UNIPROT
861119,67,COB,GENE_SYMBOL_OTHER
1162446,67,Complex III subunit 3,UNIPROT
1162447,67,Complex III subunit III,UNIPROT
861120,67,CYTB,GENE_SYMBOL_OTHER
1162445,67,Cytochrome b,UNIPROT
1162448,67,Cytochrome b-c1 complex subunit 3,UNIPROT
1162441,67,MT-CYB,GENE_SYMBOL
861121,67,MTCYB,GENE_SYMBOL_OTHER
1162449,67,Ubiquinol-cytochrome-c reductase complex cytochrome b subunit,UNIPROT
1162454,68,CD_antigen=CD25,UNIPROT
1162455,68,IL-2 receptor subunit alpha,UNIPROT
1162456,68,IL-2-RA,UNIPROT
1162457,68,IL-2R subunit alpha,UNIPROT
1162458,68,IL2-RA,UNIPROT
1162450,68,IL2RA,GENE_SYMBOL
1162451,68,Interleukin-2 receptor subunit alpha,UNIPROT
1162453,68,p55,UNIPROT
1162452,68,TAC antigen,UNIPROT
1162459,69,CHRM3,GENE_SYMBOL
1162460,69,Muscarinic acetylcholine receptor M3,UNIPROT
1162469,70,3.4.16.4,EC_NUMBER
1162470,70,3.4.21.-,EC_NUMBER
1162462,70,D-alanyl-D-alanine carboxypeptidase DacB,UNIPROT
1162463,70,D-alanyl-D-alanine endopeptidase,UNIPROT
1162461,70,dacB,GENE_SYMBOL
1162465,70,DD-carboxypeptidase,UNIPROT
1162467,70,DD-endopeptidase,UNIPROT
1162466,70,DD-peptidase,UNIPROT
1162468,70,PBP-4,UNIPROT
1162464,70,Penicillin-binding protein 4,UNIPROT
1162480,71,1.14.14.154,EC_NUMBER
861152,71,CYP51,GENE_SYMBOL_OTHER
1162475,71,CYPLI,UNIPROT
1162476,71,Cytochrome P450 51,UNIPROT
1162477,71,Cytochrome P450-14DM,UNIPROT
1162478,71,Cytochrome P450-LIA1,UNIPROT
1162471,71,ERG11,GENE_SYMBOL
861153,71,ERG16 ,GENE_SYMBOL_OTHER
1162474,71,Lanosterol 14-alpha demethylase,UNIPROT
1162479,71,Sterol 14-alpha demethylase,UNIPROT
1162484,72,5.6.2.1,EC_NUMBER
1162482,72,DNA topoisomerase 1,UNIPROT
1162483,72,DNA topoisomerase I,UNIPROT
1162481,72,TOP1,GENE_SYMBOL
1162489,73,"(2E,6E)-farnesyl diphosphate synthase",UNIPROT
1162496,73,2.5.1.1,EC_NUMBER
1162495,73,2.5.1.10,EC_NUMBER
1162490,73,Dimethylallyltranstransferase,UNIPROT
1162491,73,Farnesyl diphosphate synthase,UNIPROT
1162488,73,Farnesyl pyrophosphate synthase,UNIPROT
1162485,73,FDPS,GENE_SYMBOL
1162493,73,FPP synthase,UNIPROT
861168,73,FPS,GENE_SYMBOL_OTHER
1162494,73,FPS,UNIPROT
1162492,73,Geranyltranstransferase,UNIPROT
861169,73,KIAA1293,GENE_SYMBOL_OTHER
1162499,74,Vascular endothelial growth factor A,UNIPROT
1162500,74,Vascular permeability factor,UNIPROT
861182,74,VEGF,GENE_SYMBOL_OTHER
1162501,74,VEGF-A,UNIPROT
1162497,74,VEGFA,GENE_SYMBOL
1162502,74,VPF,UNIPROT
1162505,75,GLP-1 receptor,UNIPROT
1162506,75,GLP-1-R,UNIPROT
1162507,75,GLP-1R,UNIPROT
1162503,75,GLP1R,GENE_SYMBOL
1162504,75,Glucagon-like peptide 1 receptor,UNIPROT
1162508,76,EDNRB,GENE_SYMBOL
1162511,76,Endothelin receptor non-selective type,UNIPROT
1162510,76,Endothelin receptor type B,UNIPROT
1162512,76,ET-B,UNIPROT
1162513,76,ET-BR,UNIPROT
861529,76,ETRB,GENE_SYMBOL_OTHER
1162522,77,3.1.3.25,EC_NUMBER
1162523,77,3.1.3.94,EC_NUMBER
1162517,77,D-galactose 1-phosphate phosphatase,UNIPROT
1162520,77,IMP 1,UNIPROT
861536,77,IMPA,GENE_SYMBOL_OTHER
1162514,77,IMPA1,GENE_SYMBOL
1162521,77,IMPase 1,UNIPROT
1162516,77,Inositol monophosphatase 1,UNIPROT
1162518,77,Inositol-1(or 4)-monophosphatase 1,UNIPROT
1162519,77,Lithium-sensitive myo-inositol monophosphatase A1,UNIPROT
1162529,78,1.3.1.22,EC_NUMBER
1162525,78,3-oxo-5-alpha-steroid 4-dehydrogenase 1,UNIPROT
1162528,78,S5AR 1,UNIPROT
1162526,78,SR type 1,UNIPROT
1162524,78,SRD5A1,GENE_SYMBOL
1162527,78,Steroid 5-alpha-reductase 1,UNIPROT
1162532,79,GABA(A) receptor subunit gamma-2,UNIPROT
1162530,79,GABRG2,GENE_SYMBOL
1162531,79,Gamma-aminobutyric acid receptor subunit gamma-2,UNIPROT
1162533,80,dg1,GENE_SYMBOL
1162534,80,Ligand-gated chloride channel subunit,UNIPROT
861558,81,ADHR,GENE_SYMBOL_OTHER
1162542,81,Antidiuretic hormone receptor,UNIPROT
1162541,81,AVPR V2,UNIPROT
1162535,81,AVPR2,GENE_SYMBOL
861559,81,DIR,GENE_SYMBOL_OTHER
861560,81,DIR3,GENE_SYMBOL_OTHER
1162543,81,Renal-type arginine vasopressin receptor,UNIPROT
861561,81,V2R,GENE_SYMBOL_OTHER
1162544,81,V2R,UNIPROT
1162540,81,Vasopressin V2 receptor,UNIPROT
1162552,82,Alpha-ENaC,UNIPROT
1162548,82,Alpha-NaCH,UNIPROT
1162547,82,Amiloride-sensitive sodium channel subunit alpha,UNIPROT
1162553,82,ENaCA,UNIPROT
1162549,82,Epithelial Na(+) channel subunit alpha,UNIPROT
1162550,82,Nonvoltage-gated sodium channel 1 subunit alpha,UNIPROT
1162551,82,SCNEA,UNIPROT
861572,82,SCNN1,GENE_SYMBOL_OTHER
1162545,82,SCNN1A,GENE_SYMBOL
1162555,83,Somatostatin receptor type 5,UNIPROT
1162556,83,SS-5-R,UNIPROT
1162557,83,SS5-R,UNIPROT
1162558,83,SS5R,UNIPROT
1162554,83,SSTR5,GENE_SYMBOL
1162564,84,Parathyroid hormone 1 receptor,UNIPROT
1162562,84,Parathyroid hormone/parathyroid hormone-related peptide receptor,UNIPROT
1162565,84,PTH/PTHr receptor,UNIPROT
1162563,84,PTH/PTHrP type I receptor,UNIPROT
1162566,84,PTH1 receptor,UNIPROT
1162559,84,PTH1R,GENE_SYMBOL
861587,84,PTHR,GENE_SYMBOL_OTHER
861588,84,PTHR1,GENE_SYMBOL_OTHER
1162567,85,CHRNA2,GENE_SYMBOL
1162568,85,Neuronal acetylcholine receptor subunit alpha-2,UNIPROT
1162578,86,4.6.1.2,EC_NUMBER
1162574,86,ANP-B,UNIPROT
1162575,86,ANPR-B,UNIPROT
861599,86,ANPRB,GENE_SYMBOL_OTHER
1162571,86,Atrial natriuretic peptide receptor 2,UNIPROT
1162572,86,Atrial natriuretic peptide receptor type B,UNIPROT
1162577,86,GC-B,UNIPROT
1162573,86,Guanylate cyclase B,UNIPROT
1162576,86,NPR-B,UNIPROT
1162569,86,NPR2,GENE_SYMBOL
1162582,87,3.1.1.3,EC_NUMBER
1162581,87,Gastric lipase,UNIPROT
1162580,87,Gastric triacylglycerol lipase,UNIPROT
1162579,87,LIPF,GENE_SYMBOL
1162585,88,4.1.1.17,EC_NUMBER
1162584,88,ODC,UNIPROT
1162583,88,Ornithine decarboxylase,UNIPROT
861618,89,CYSLT1,GENE_SYMBOL_OTHER
1162586,89,CYSLTR1,GENE_SYMBOL
1162592,89,CysLTR1,UNIPROT
1162589,89,Cysteinyl leukotriene D4 receptor,UNIPROT
1162588,89,Cysteinyl leukotriene receptor 1,UNIPROT
1162590,89,G-protein coupled receptor HG55,UNIPROT
1162591,89,HMTMF81,UNIPROT
1162593,89,LTD4 receptor,UNIPROT
1162601,90,3.4.16.4,EC_NUMBER
1162596,90,Essential cell division protein FtsI,UNIPROT
1162594,90,ftsI,GENE_SYMBOL
1162597,90,Murein transpeptidase,UNIPROT
1162600,90,PBP-3,UNIPROT
1162598,90,Penicillin-binding protein 3,UNIPROT
1162595,90,"Peptidoglycan D,D-transpeptidase FtsI",UNIPROT
1162599,90,Peptidoglycan synthase FtsI,UNIPROT
1162606,91,Corticotropin-releasing factor receptor 1,UNIPROT
1162607,91,Corticotropin-releasing hormone receptor 1,UNIPROT
1162608,91,CRF-R-1,UNIPROT
1162609,91,CRF-R1,UNIPROT
861635,91,CRFR,GENE_SYMBOL_OTHER
1162610,91,CRFR-1,UNIPROT
861636,91,CRFR1,GENE_SYMBOL_OTHER
1162611,91,CRH-R-1,UNIPROT
1162612,91,CRH-R1,UNIPROT
861637,91,CRHR,GENE_SYMBOL_OTHER
1162602,91,CRHR1,GENE_SYMBOL
1162620,92,3.4.21.5,EC_NUMBER
1162615,92,Activation peptide fragment 1,UNIPROT
1162616,92,Activation peptide fragment 2,UNIPROT
1162619,92,Coagulation factor II,UNIPROT
1162613,92,F2,GENE_SYMBOL
