domain_id,domain_type,source_domain_id,domain_name,domain_description
2676,Pfam-A,PF00060,Lig_chan,
2677,Pfam-A,PF00061,Lipocalin,
2678,Pfam-A,PF00062,Lys,
2679,Pfam-A,PF00063,Myosin_head,
2680,Pfam-A,PF00064,Neur,
2681,Pfam-A,PF00067,p450,
2682,Pfam-A,PF00068,Phospholip_A2_1,
2683,Pfam-A,PF00069,Pkinase,
2684,Pfam-A,PF00070,Pyr_redox,
2685,Pfam-A,PF00071,Ras,
2686,Pfam-A,PF00072,Response_reg,
2687,Pfam-A,PF00073,Rhv,
2688,Pfam-A,PF00074,RnaseA,
2689,Pfam-A,PF00075,RNase_H,
2690,Pfam-A,PF00076,RRM_1,
2691,Pfam-A,PF00077,RVP,
2692,Pfam-A,PF00078,RVT_1,
2693,Pfam-A,PF00079,Serpin,
2694,Pfam-A,PF00080,Sod_Cu,
2695,Pfam-A,PF00081,Sod_Fe_N,
2696,Pfam-A,PF00082,Peptidase_S8,
2697,Pfam-A,PF00083,Sugar_tr,
2698,Pfam-A,PF00084,Sushi,
2699,Pfam-A,PF00085,Thioredoxin,
2700,Pfam-A,PF00086,Thyroglobulin_1,
2701,Pfam-A,PF00088,Trefoil,
2702,Pfam-A,PF00089,Trypsin,
2703,Pfam-A,PF00090,TSP_1,
2704,Pfam-A,PF00091,Tubulin,
2705,Pfam-A,PF00092,VWA,
2706,Pfam-A,PF00093,VWC,
2707,Pfam-A,PF00094,VWD,
2708,Pfam-A,PF00096,zf-C2H2,
2709,Pfam-A,PF00097,zf-C3HC4,
2710,Pfam-A,PF00098,zf-CCHC,
2711,Pfam-A,PF00102,Y_phosphatase,
2712,Pfam-A,PF00104,Hormone_recep,
2713,Pfam-A,PF00105,zf-C4,
2714,Pfam-A,PF00106,adh_short,
2715,Pfam-A,PF00107,ADH_zinc_N,
2716,Pfam-A,PF00108,Thiolase_N,
2717,Pfam-A,PF00109,ketoacyl-synt,
2718,Pfam-A,PF00110,wnt,
2719,Pfam-A,PF00111,Fer2,
2720,Pfam-A,PF00112,Peptidase_C1,
2721,Pfam-A,PF00113,Enolase_C,
2722,Pfam-A,PF00115,COX1,
2723,Pfam-A,PF00116,COX2,
2724,Pfam-A,PF00117,GATase,
2725,Pfam-A,PF00118,Cpn60_TCP1,
2726,Pfam-A,PF00119,ATP-synt_A,
2727,Pfam-A,PF00120,Gln-synt_C,
2728,Pfam-A,PF00121,TIM,
2729,Pfam-A,PF00122,E1-E2_ATPase,
2730,Pfam-A,PF00123,Hormone_2,
2731,Pfam-A,PF00125,Histone,
2732,Pfam-A,PF00128,Alpha-amylase,
2733,Pfam-A,PF00129,MHC_I,
2734,Pfam-A,PF00130,C1_1,
2735,Pfam-A,PF00131,Metallothio,
2736,Pfam-A,PF00132,Hexapep,
2737,Pfam-A,PF00133,tRNA-synt_1,
2738,Pfam-A,PF00134,Cyclin_N,
2739,Pfam-A,PF00135,COesterase,
2740,Pfam-A,PF00136,DNA_pol_B,
2741,Pfam-A,PF00137,ATP-synt_C,
2742,Pfam-A,PF00139,Lectin_legB,
2743,Pfam-A,PF00140,Sigma70_r1_2,
2744,Pfam-A,PF00144,Beta-lactamase,
2745,Pfam-A,PF00145,DNA_methylase,
2746,Pfam-A,PF00146,NADHdh,
2747,Pfam-A,PF00147,Fibrinogen_C,
2748,Pfam-A,PF00149,Metallophos,
2749,Pfam-A,PF00151,Lipase,
2750,Pfam-A,PF00152,tRNA-synt_2,
2751,Pfam-A,PF00153,Mito_carr,
2752,Pfam-A,PF00154,RecA,
2753,Pfam-A,PF00155,Aminotran_1_2,
2754,Pfam-A,PF00156,Pribosyltran,
2755,Pfam-A,PF00157,Pou,
2756,Pfam-A,PF00158,Sigma54_activat,
2757,Pfam-A,PF00160,Pro_isomerase,
2758,Pfam-A,PF00161,RIP,
2759,Pfam-A,PF00162,PGK,
2760,Pfam-A,PF00164,Ribosom_S12_S23,
2761,Pfam-A,PF00167,FGF,
2762,Pfam-A,PF00168,C2,
2763,Pfam-A,PF00169,PH,
2764,Pfam-A,PF00170,bZIP_1,
2765,Pfam-A,PF00171,Aldedh,
2766,Pfam-A,PF00173,Cyt-b5,
2767,Pfam-A,PF00175,NAD_binding_1,
2768,Pfam-A,PF00178,Ets,
2769,Pfam-A,PF00179,UQ_con,
2770,Pfam-A,PF00180,Iso_dh,
2771,Pfam-A,PF00183,HSP90,
2772,Pfam-A,PF00185,OTCace,
2773,Pfam-A,PF00186,DHFR_1,
2774,Pfam-A,PF00191,Annexin,
2775,Pfam-A,PF00193,Xlink,
2776,Pfam-A,PF00194,Carb_anhydrase,
2777,Pfam-A,PF00195,Chal_sti_synt_N,
2778,Pfam-A,PF00196,GerE,
2779,Pfam-A,PF00199,Catalase,
2780,Pfam-A,PF00200,Disintegrin,
2781,Pfam-A,PF00201,UDPGT,
2782,Pfam-A,PF00202,Aminotran_3,
2783,Pfam-A,PF00204,DNA_gyraseB,
2784,Pfam-A,PF00205,TPP_enzyme_M,
2785,Pfam-A,PF00206,Lyase_1,
2786,Pfam-A,PF00207,A2M,
2787,Pfam-A,PF00208,ELFV_dehydrog,
2788,Pfam-A,PF00209,SNF,
2789,Pfam-A,PF00210,Ferritin,
2790,Pfam-A,PF00211,Guanylate_cyc,
2791,Pfam-A,PF00212,ANP,
2792,Pfam-A,PF00214,Calc_CGRP_IAPP,
2793,Pfam-A,PF00215,OMPdecase,
2794,Pfam-A,PF00216,Bac_DNA_binding,
2795,Pfam-A,PF00217,ATP-gua_Ptrans,
2796,Pfam-A,PF00219,IGFBP,
2797,Pfam-A,PF00221,Lyase_aromatic,
2798,Pfam-A,PF00224,PK,
2799,Pfam-A,PF00225,Kinesin,
2800,Pfam-A,PF00226,DnaJ,
2801,Pfam-A,PF00227,Proteasome,
2802,Pfam-A,PF00229,TNF,
2803,Pfam-A,PF00230,MIP,
2804,Pfam-A,PF00232,Glyco_hydro_1,
2805,Pfam-A,PF00233,PDEase_I,
2806,Pfam-A,PF00241,Cofilin_ADF,
2807,Pfam-A,PF00242,DNA_pol_viral_N,
2808,Pfam-A,PF00243,NGF,
2809,Pfam-A,PF00244,14-3-3,
2810,Pfam-A,PF00245,Alk_phosphatase,
2811,Pfam-A,PF00246,Peptidase_M14,
2812,Pfam-A,PF00248,Aldo_ket_red,
2813,Pfam-A,PF00249,Myb_DNA-binding,
2814,Pfam-A,PF00250,Forkhead,
2815,Pfam-A,PF00254,FKBP_C,
2816,Pfam-A,PF00258,Flavodoxin_1,
2817,Pfam-A,PF00262,Calreticulin,
2818,Pfam-A,PF00264,Tyrosinase,
2819,Pfam-A,PF00265,TK,
2820,Pfam-A,PF00266,Aminotran_5,
2821,Pfam-A,PF00268,Ribonuc_red_sm,
2822,Pfam-A,PF00270,DEAD,
2823,Pfam-A,PF00271,Helicase_C,
2824,Pfam-A,PF00273,Serum_albumin,
2825,Pfam-A,PF00274,Glycolytic,
2826,Pfam-A,PF00275,EPSP_synthase,
2827,Pfam-A,PF00278,Orn_DAP_Arg_deC,
2828,Pfam-A,PF00282,Pyridoxal_deC,
2829,Pfam-A,PF00285,Citrate_synt,
2830,Pfam-A,PF00287,Na_K-ATPase,
2831,Pfam-A,PF00288,GHMP_kinases_N,
2832,Pfam-A,PF00289,Biotin_carb_N,
2833,Pfam-A,PF00291,PALP,
2834,Pfam-A,PF00294,PfkB,
2835,Pfam-A,PF00295,Glyco_hydro_28,
2836,Pfam-A,PF00303,Thymidylat_synt,
2837,Pfam-A,PF00305,Lipoxygenase,
2838,Pfam-A,PF00306,ATP-synt_ab_C,
2839,Pfam-A,PF00307,CH,
2841,Pfam-A,PF00316,FBPase,
2842,Pfam-A,PF00317,Ribonuc_red_lgN,
2843,Pfam-A,PF00318,Ribosomal_S2,
2844,Pfam-A,PF00320,GATA,
2845,Pfam-A,PF00324,AA_permease,
2846,Pfam-A,PF00326,Peptidase_S9,
2847,Pfam-A,PF00328,His_Phos_2,
2848,Pfam-A,PF00334,NDK,
2849,Pfam-A,PF00335,Tetraspannin,
2850,Pfam-A,PF00336,DNA_pol_viral_C,
2851,Pfam-A,PF00337,Gal-bind_lectin,
2852,Pfam-A,PF00339,Arrestin_N,
2853,Pfam-A,PF00340,IL1,
2854,Pfam-A,PF00341,PDGF,
2855,Pfam-A,PF00342,PGI,
2856,Pfam-A,PF00343,Phosphorylase,
2857,Pfam-A,PF00345,PapD_N,
2858,Pfam-A,PF00346,Complex1_49kDa,
2859,Pfam-A,PF00348,polyprenyl_synt,
2860,Pfam-A,PF00349,Hexokinase_1,
2861,Pfam-A,PF00350,Dynamin_N,
2862,Pfam-A,PF00351,Biopterin_H,
2863,Pfam-A,PF00354,Pentaxin,
2864,Pfam-A,PF00357,Integrin_alpha,
2865,Pfam-A,PF00361,Proton_antipo_M,
2866,Pfam-A,PF00362,Integrin_beta,
2867,Pfam-A,PF00363,Casein,
2868,Pfam-A,PF00364,Biotin_lipoyl,
2869,Pfam-A,PF00365,PFK,
2870,Pfam-A,PF00368,HMG-CoA_red,
2871,Pfam-A,PF00370,FGGY_N,
2872,Pfam-A,PF00372,Hemocyanin_M,
2873,Pfam-A,PF00373,FERM_M,
2874,Pfam-A,PF00375,SDF,
2875,Pfam-A,PF00377,Prion,
2876,Pfam-A,PF00378,ECH_1,
2877,Pfam-A,PF00383,dCMP_cyt_deam_1,
2878,Pfam-A,PF00385,Chromo,
2879,Pfam-A,PF00386,C1q,
2880,Pfam-A,PF00387,PI-PLC-Y,
2881,Pfam-A,PF00388,PI-PLC-X,
2882,Pfam-A,PF00390,malic,
2883,Pfam-A,PF00393,6PGD,
2884,Pfam-A,PF00394,Cu-oxidase,
2885,Pfam-A,PF00397,WW,
2886,Pfam-A,PF00398,RrnaAD,
2887,Pfam-A,PF00400,WD40,
2888,Pfam-A,PF00405,Transferrin,
2889,Pfam-A,PF00406,ADK,
2890,Pfam-A,PF00412,LIM,
2891,Pfam-A,PF00413,Peptidase_M10,
2892,Pfam-A,PF00415,RCC1,
2893,Pfam-A,PF00418,Tubulin-binding,
2894,Pfam-A,PF00419,Fimbrial,
2895,Pfam-A,PF00420,Oxidored_q2,
2896,Pfam-A,PF00423,HN,
2897,Pfam-A,PF00424,REV,
2898,Pfam-A,PF00425,Chorismate_bind,
2899,Pfam-A,PF00429,TLV_coat,
2900,Pfam-A,PF00431,CUB,
2901,Pfam-A,PF00432,Prenyltrans,
2902,Pfam-A,PF00433,Pkinase_C,
2903,Pfam-A,PF00438,S-AdoMet_synt_N,
2904,Pfam-A,PF00439,Bromodomain,
2905,Pfam-A,PF00440,TetR_N,
2906,Pfam-A,PF00443,UCH,
2907,Pfam-A,PF00447,HSF_DNA-bind,
2908,Pfam-A,PF00449,Urease_alpha,
2909,Pfam-A,PF00450,Peptidase_S10,
2910,Pfam-A,PF00452,Bcl-2,
2911,Pfam-A,PF00454,PI3_PI4_kinase,
2912,Pfam-A,PF00456,Transketolase_N,
2913,Pfam-A,PF00458,WHEP-TRS,
2914,Pfam-A,PF00459,Inositol_P,
2915,Pfam-A,PF00462,Glutaredoxin,
2916,Pfam-A,PF00463,ICL,
2917,Pfam-A,PF00464,SHMT,
2918,Pfam-A,PF00465,Fe-ADH,
2919,Pfam-A,PF00474,SSF,
2920,Pfam-A,PF00475,IGPD,
2921,Pfam-A,PF00476,DNA_pol_A,
2922,Pfam-A,PF00478,IMPDH,
2923,Pfam-A,PF00479,G6PD_N,
2924,Pfam-A,PF00481,PP2C,
2925,Pfam-A,PF00483,NTP_transferase,
2926,Pfam-A,PF00484,Pro_CA,
2927,Pfam-A,PF00485,PRK,
2928,Pfam-A,PF00487,FA_desaturase,
2929,Pfam-A,PF00489,IL6,
2930,Pfam-A,PF00490,ALAD,
2931,Pfam-A,PF00491,Arginase,
2932,Pfam-A,PF00494,SQS_PSY,
2934,Pfam-A,PF00498,FHA,
2935,Pfam-A,PF00499,Oxidored_q3,
2936,Pfam-A,PF00501,AMP-binding,
2937,Pfam-A,PF00503,G-alpha,
2938,Pfam-A,PF00505,HMG_box,
2939,Pfam-A,PF00507,Oxidored_q4,
2940,Pfam-A,PF00508,PPV_E2_N,
2941,Pfam-A,PF00509,Hemagglutinin,
2942,Pfam-A,PF00510,COX3,
2943,Pfam-A,PF00511,PPV_E2_C,
2944,Pfam-A,PF00512,HisKA,
2945,Pfam-A,PF00514,Arm,
2946,Pfam-A,PF00515,TPR_1,
2947,Pfam-A,PF00516,GP120,
2948,Pfam-A,PF00517,GP41,
2949,Pfam-A,PF00518,E6,
2950,Pfam-A,PF00519,PPV_E1_C,
2951,Pfam-A,PF00520,Ion_trans,
2952,Pfam-A,PF00521,DNA_topoisoIV,
2953,Pfam-A,PF00523,Fusion_gly,
2954,Pfam-A,PF00524,PPV_E1_N,
2955,Pfam-A,PF00527,E7,
2956,Pfam-A,PF00530,SRCR,
2957,Pfam-A,PF00531,Death,
2958,Pfam-A,PF00533,BRCT,
2959,Pfam-A,PF00535,Glycos_transf_2,
2960,Pfam-A,PF00536,SAM_1,
2961,Pfam-A,PF00539,Tat,
2962,Pfam-A,PF00540,Gag_p17,
2963,Pfam-A,PF00545,Ribonuclease,
2964,Pfam-A,PF00547,Urease_gamma,
2965,Pfam-A,PF00548,Peptidase_C3,
2966,Pfam-A,PF00549,Ligase_CoA,
2967,Pfam-A,PF00550,PP-binding,
2968,Pfam-A,PF00551,Formyl_trans_N,
2969,Pfam-A,PF00552,IN_DBD_C,
2970,Pfam-A,PF00554,RHD_DNA_bind,
2971,Pfam-A,PF00557,Peptidase_M24,
2972,Pfam-A,PF00560,LRR_1,
2973,Pfam-A,PF00561,Abhydrolase_1,
2974,Pfam-A,PF00562,RNA_pol_Rpb2_6,
2975,Pfam-A,PF00564,PB1,
2976,Pfam-A,PF00567,TUDOR,
2977,Pfam-A,PF00569,ZZ,
2978,Pfam-A,PF00570,HRDC,
2979,Pfam-A,PF00571,CBS,
2980,Pfam-A,PF00572,Ribosomal_L13,
2981,Pfam-A,PF00573,Ribosomal_L4,
2982,Pfam-A,PF00574,CLP_protease,
2983,Pfam-A,PF00575,S1,
2984,Pfam-A,PF00576,Transthyretin,
2985,Pfam-A,PF00578,AhpC-TSA,
2986,Pfam-A,PF00579,tRNA-synt_1b,
2987,Pfam-A,PF00580,UvrD-helicase,
2988,Pfam-A,PF00581,Rhodanese,
2989,Pfam-A,PF00583,Acetyltransf_1,
2990,Pfam-A,PF00586,AIRS,
2991,Pfam-A,PF00587,tRNA-synt_2b,
2992,Pfam-A,PF00588,SpoU_methylase,
2993,Pfam-A,PF00591,Glycos_transf_3,
2994,Pfam-A,PF00594,Gla,
2995,Pfam-A,PF00595,PDZ,
2996,Pfam-A,PF00599,Flu_M2,
2997,Pfam-A,PF00600,Flu_NS1,
2998,Pfam-A,PF00603,Flu_PA,
2999,Pfam-A,PF00605,IRF,
3000,Pfam-A,PF00607,Gag_p24,
3001,Pfam-A,PF00609,DAGK_acc,
3002,Pfam-A,PF00610,DEP,
3003,Pfam-A,PF00611,FCH,
3004,Pfam-A,PF00612,IQ,
3005,Pfam-A,PF00613,PI3Ka,
3006,Pfam-A,PF00614,PLDc,
3007,Pfam-A,PF00615,RGS,
3008,Pfam-A,PF00617,RasGEF,
3009,Pfam-A,PF00618,RasGEF_N,
3010,Pfam-A,PF00619,CARD,
3011,Pfam-A,PF00620,RhoGAP,
3012,Pfam-A,PF00621,RhoGEF,
3013,Pfam-A,PF00622,SPRY,
3014,Pfam-A,PF00623,RNA_pol_Rpb1_2,
3015,Pfam-A,PF00625,Guanylate_kin,
3016,Pfam-A,PF00627,UBA,
3017,Pfam-A,PF00628,PHD,
3018,Pfam-A,PF00629,MAM,
3019,Pfam-A,PF00639,Rotamase,
3020,Pfam-A,PF00640,PID,
3021,Pfam-A,PF00641,zf-RanBP,
3022,Pfam-A,PF00642,zf-CCCH,
3023,Pfam-A,PF00644,PARP,
3024,Pfam-A,PF00645,zf-PARP,
3025,Pfam-A,PF00646,F-box,
3026,Pfam-A,PF00648,Peptidase_C2,
3027,Pfam-A,PF00650,CRAL_TRIO,
3028,Pfam-A,PF00651,BTB,
3029,Pfam-A,PF00652,Ricin_B_lectin,
3030,Pfam-A,PF00653,BIR,
3031,Pfam-A,PF00654,Voltage_CLC,
3032,Pfam-A,PF00656,Peptidase_C14,
3033,Pfam-A,PF00658,PABP,
3034,Pfam-A,PF00659,POLO_box,
3035,Pfam-A,PF00662,Proton_antipo_N,
3036,Pfam-A,PF00664,ABC_membrane,
3037,Pfam-A,PF00665,rve,
3038,Pfam-A,PF00667,FAD_binding_1,
3039,Pfam-A,PF00670,AdoHcyase_NAD,
3040,Pfam-A,PF00672,HAMP,
3041,Pfam-A,PF00675,Peptidase_M16,
3042,Pfam-A,PF00676,E1_dh,
3043,Pfam-A,PF00679,EFG_C,
3044,Pfam-A,PF00680,RdRP_1,
3045,Pfam-A,PF00681,Plectin,
3046,Pfam-A,PF00682,HMGL-like,
3047,Pfam-A,PF00684,DnaJ_CXXCXGXG,
3048,Pfam-A,PF00685,Sulfotransfer_1,
3049,Pfam-A,PF00686,CBM_20,
3050,Pfam-A,PF00687,Ribosomal_L1,
3051,Pfam-A,PF00688,TGFb_propeptide,
3052,Pfam-A,PF00689,Cation_ATPase_C,
3053,Pfam-A,PF00690,Cation_ATPase_N,
3054,Pfam-A,PF00692,dUTPase,
3055,Pfam-A,PF00693,Herpes_TK,
3056,Pfam-A,PF00695,vMSA,
3057,Pfam-A,PF00698,Acyl_transf_1,
3058,Pfam-A,PF00699,Urease_beta,
3059,Pfam-A,PF00701,DHDPS,
3060,Pfam-A,PF00702,Hydrolase,
3061,Pfam-A,PF00703,Glyco_hydro_2,
3062,Pfam-A,PF00704,Glyco_hydro_18,
3063,Pfam-A,PF00707,IF3_C,
3064,Pfam-A,PF00709,Adenylsucc_synt,
3065,Pfam-A,PF00710,Asparaginase,
3066,Pfam-A,PF00715,IL2,
3067,Pfam-A,PF00716,Peptidase_S21,
3068,Pfam-A,PF00717,Peptidase_S24,
3069,Pfam-A,PF00723,Glyco_hydro_15,
3070,Pfam-A,PF00725,3HCDH,
3071,Pfam-A,PF00728,Glyco_hydro_20,
3072,Pfam-A,PF00731,AIRC,
3073,Pfam-A,PF00733,Asn_synthase,
3074,Pfam-A,PF00749,tRNA-synt_1c,
3075,Pfam-A,PF00750,tRNA-synt_1d,
3076,Pfam-A,PF00752,XPG_N,
3077,Pfam-A,PF00753,Lactamase_B,
3078,Pfam-A,PF00754,F5_F8_type_C,
3079,Pfam-A,PF00755,Carn_acyltransf,
3080,Pfam-A,PF00756,Esterase,
3081,Pfam-A,PF00757,Furin-like,
3082,Pfam-A,PF00758,EPO_TPO,
3083,Pfam-A,PF00763,THF_DHG_CYH,
3084,Pfam-A,PF00765,Autoind_synth,
3085,Pfam-A,PF00768,Peptidase_S11,
3086,Pfam-A,PF00769,ERM,
3087,Pfam-A,PF00772,DnaB,
3088,Pfam-A,PF00777,Glyco_transf_29,
3089,Pfam-A,PF00778,DIX,
3090,Pfam-A,PF00779,BTK,
3091,Pfam-A,PF00780,CNH,
3092,Pfam-A,PF00781,DAGK_cat,
3093,Pfam-A,PF00782,DSPc,
3094,Pfam-A,PF00786,PBD,
3095,Pfam-A,PF00787,PX,
3096,Pfam-A,PF00788,RA,
3097,Pfam-A,PF00792,PI3K_C2,
3098,Pfam-A,PF00793,DAHP_synth_1,
3099,Pfam-A,PF00794,PI3K_rbd,
3100,Pfam-A,PF00797,Acetyltransf_2,
3101,Pfam-A,PF00801,PKD,
3102,Pfam-A,PF00809,Pterin_bind,
3103,Pfam-A,PF00812,Ephrin,
3104,Pfam-A,PF00815,Histidinol_dh,
3105,Pfam-A,PF00817,IMS,
3106,Pfam-A,PF00821,PEPCK_C,
3107,Pfam-A,PF00822,PMP22_Claudin,
3108,Pfam-A,PF00825,Ribonuclease_P,
3109,Pfam-A,PF00835,SNAP-25,
3110,Pfam-A,PF00837,T4_deiodinase,
3111,Pfam-A,PF00842,Ala_racemase_C,
3112,Pfam-A,PF00850,Hist_deacetyl,
3113,Pfam-A,PF00852,Glyco_transf_10,
3114,Pfam-A,PF00853,Runt,
3115,Pfam-A,PF00854,PTR2,
3116,Pfam-A,PF00855,PWWP,
3117,Pfam-A,PF00856,SET,
3118,Pfam-A,PF00857,Isochorismatase,
3119,Pfam-A,PF00858,ASC,
3120,Pfam-A,PF00860,Xan_ur_permease,
3121,Pfam-A,PF00864,P2X_receptor,
3122,Pfam-A,PF00865,Osteopontin,
3123,Pfam-A,PF00867,XPG_I,
3124,Pfam-A,PF00868,Transglut_N,
3125,Pfam-A,PF00869,Flavi_glycoprot,
3126,Pfam-A,PF00870,P53,
3127,Pfam-A,PF00873,ACR_tran,
3128,Pfam-A,PF00878,CIMR,
3129,Pfam-A,PF00881,Nitroreductase,
3130,Pfam-A,PF00882,Zn_dep_PLPC,
3131,Pfam-A,PF00883,Peptidase_M17,
3132,Pfam-A,PF00884,Sulfatase,
3133,Pfam-A,PF00885,DMRL_synthase,
3134,Pfam-A,PF00890,FAD_binding_2,
3136,Pfam-A,PF00893,Multi_Drug_Res,
3137,Pfam-A,PF00899,ThiF,
3138,Pfam-A,PF00903,Glyoxalase,
3139,Pfam-A,PF00905,Transpeptidase,
3140,Pfam-A,PF00906,Hepatitis_core,
3141,Pfam-A,PF00907,T-box,
3142,Pfam-A,PF00909,Ammonium_transp,
3143,Pfam-A,PF00910,RNA_helicase,
3144,Pfam-A,PF00912,Transgly,
3145,Pfam-A,PF00916,Sulfate_transp,
3146,Pfam-A,PF00918,Gastrin,
3147,Pfam-A,PF00927,Transglut_C,
3148,Pfam-A,PF00929,RNase_T,
3149,Pfam-A,PF00930,DPPIV_N,
3150,Pfam-A,PF00931,NB-ARC,
3151,Pfam-A,PF00932,LTD,
3152,Pfam-A,PF00933,Glyco_hydro_3,
3153,Pfam-A,PF00940,RNA_pol,
3154,Pfam-A,PF00941,FAD_binding_5,
3155,Pfam-A,PF00947,Pico_P2A,
3156,Pfam-A,PF00948,Flavi_NS1,
3157,Pfam-A,PF00949,Peptidase_S7,
3158,Pfam-A,PF00953,Glycos_transf_4,
3159,Pfam-A,PF00957,Synaptobrevin,
3160,Pfam-A,PF00958,GMP_synt_C,
3161,Pfam-A,PF00959,Phage_lysozyme,
3162,Pfam-A,PF00962,A_deaminase,
3163,Pfam-A,PF00965,TIMP,
3164,Pfam-A,PF00969,MHC_II_beta,
3165,Pfam-A,PF00970,FAD_binding_6,
3166,Pfam-A,PF00972,Flavi_NS5,
3167,Pfam-A,PF00975,Thioesterase,
3168,Pfam-A,PF00986,DNA_gyraseB_C,
3169,Pfam-A,PF00988,CPSase_sm_chain,
3170,Pfam-A,PF00989,PAS,
3171,Pfam-A,PF00992,Troponin,
3172,Pfam-A,PF00998,RdRP_3,
3173,Pfam-A,PF00999,Na_H_Exchanger,
3174,Pfam-A,PF01001,HCV_NS4b,
3175,Pfam-A,PF01002,Flavi_NS2B,
3176,Pfam-A,PF01003,Flavi_capsid,
3177,Pfam-A,PF01004,Flavi_M,
3178,Pfam-A,PF01005,Flavi_NS2A,
3179,Pfam-A,PF01006,HCV_NS4a,
3180,Pfam-A,PF01007,IRK,
3181,Pfam-A,PF01017,STAT_alpha,
3182,Pfam-A,PF01019,G_glu_transpept,
3183,Pfam-A,PF01023,S_100,
3184,Pfam-A,PF01025,GrpE,
3185,Pfam-A,PF01027,Bax1-I,
3186,Pfam-A,PF01028,Topoisom_I,
3187,Pfam-A,PF01030,Recep_L_domain,
3188,Pfam-A,PF01031,Dynamin_M,
3189,Pfam-A,PF01033,Somatomedin_B,
3190,Pfam-A,PF01034,Syndecan,
3191,Pfam-A,PF01035,DNA_binding_1,
3192,Pfam-A,PF01039,Carboxyl_trans,
3193,Pfam-A,PF01048,PNP_UDP_1,
3194,Pfam-A,PF01049,Cadherin_C,
3195,Pfam-A,PF01053,Cys_Met_Meta_PP,
3196,Pfam-A,PF01055,Glyco_hydro_31,
3197,Pfam-A,PF01056,Myc_N,
3198,Pfam-A,PF01059,Oxidored_q5_N,
3199,Pfam-A,PF01061,ABC2_membrane,
3200,Pfam-A,PF01063,Aminotran_4,
3201,Pfam-A,PF01064,Activin_recp,
3202,Pfam-A,PF01066,CDP-OH_P_transf,
3203,Pfam-A,PF01067,Calpain_III,
3204,Pfam-A,PF01068,DNA_ligase_A_M,
3205,Pfam-A,PF01070,FMN_dh,
3206,Pfam-A,PF01071,GARS_A,
3207,Pfam-A,PF01073,3Beta_HSD,
3208,Pfam-A,PF01074,Glyco_hydro_38,
3209,Pfam-A,PF01079,Hint,
3210,Pfam-A,PF01080,Presenilin,
3211,Pfam-A,PF01082,Cu2_monooxygen,
3212,Pfam-A,PF01085,HH_signal,
3213,Pfam-A,PF01088,Peptidase_C12,
3214,Pfam-A,PF01091,PTN_MK_C,
3215,Pfam-A,PF01093,Clusterin,
3216,Pfam-A,PF01094,ANF_receptor,
3217,Pfam-A,PF01096,TFIIS_C,
3218,Pfam-A,PF01102,Glycophorin_A,
3219,Pfam-A,PF01108,Tissue_fac,
3220,Pfam-A,PF01112,Asparaginase_2,
3221,Pfam-A,PF01116,F_bP_aldolase,
3222,Pfam-A,PF01118,Semialdhyde_dh,
3223,Pfam-A,PF01120,Alpha_L_fucos,
3224,Pfam-A,PF01124,MAPEG,
3225,Pfam-A,PF01126,Heme_oxygenase,
3226,Pfam-A,PF01128,IspD,
3227,Pfam-A,PF01129,ART,
3228,Pfam-A,PF01130,CD36,
