text,parent_key
Calpactin I heavy chain,BE0001170
Calpactin-1 heavy chain,BE0001170
Chromobindin-8,BE0001170
Lipocortin II,BE0001170
LPC2D,BE0001170
p36,BE0001170
PAP-IV,BE0001170
Placental anticoagulant protein IV,BE0001170
Protein I,BE0001170
Follitropin receptor,BE0000387
FSH-R,BE0000387
LGR1,BE0000387
CDw119,BE0000711
IFN-gamma receptor 1,BE0000711
AF-1,BE0000467
IFN-gamma receptor 2,BE0000467
IFNGT1,BE0000467
Interferon gamma receptor accessory factor 1,BE0000467
Interferon gamma transducer 1,BE0000467
ADHR,BE0000293
Antidiuretic hormone receptor,BE0000293
AVPR V2,BE0000293
DIR,BE0000293
DIR3,BE0000293
Renal-type arginine vasopressin receptor,BE0000293
V2R,BE0000293
Antidiuretic hormone receptor 1a,BE0000165
AVPR V1a,BE0000165
AVPR1,BE0000165
V1aR,BE0000165
Vascular/hepatic-type arginine vasopressin receptor,BE0000165
Antidiuretic hormone receptor 1b,BE0000773
AVPR V1b,BE0000773
AVPR V3,BE0000773
AVPR3,BE0000773
V1bR,BE0000773
Vasopressin V3 receptor,BE0000773
VPR3,BE0000773
EPI,BE0000967
Extrinsic pathway inhibitor,BE0000967
LACI,BE0000967
Lipoprotein-associated coagulation inhibitor,BE0000967
TFPI,BE0000967
TFPI1,BE0000967
4.1.1.90,BE0000403
Gamma-glutamyl carboxylase,BE0000403
GC,BE0000403
Peptidyl-glutamate 4-carboxylase,BE0000403
Vitamin K gamma glutamyl carboxylase,BE0000403
3.4.21.21,BE0000333
Proconvertin,BE0000333
Serum prothrombin conversion accelerator,BE0000333
SPCA,BE0000333
Coagulation factor III,BE0001178
TF,BE0001178
Thromboplastin,BE0001178
IL-11 receptor subunit alpha,BE0000416
2.7.10.1,BE0000748
BEK,BE0000748
FGFR-2,BE0000748
K-sam,BE0000748
Keratinocyte growth factor receptor,BE0000748
KGFR,BE0000748
KSAM,BE0000748
NRP,BE0002129
Vascular endothelial cell growth factor 165 receptor,BE0002129
VEGF165R,BE0002129
2.7.10.1,BE0002131
Basic fibroblast growth factor receptor 1,BE0002131
bFGF-R-1,BE0002131
BFGFR,BE0002131
CEK,BE0002131
FGFBR,BE0002131
FGFR-1,BE0002131
FLG,BE0002131
FLT-2,BE0002131
FLT2,BE0002131
Fms-like tyrosine kinase 2,BE0002131
HBGFR,BE0002131
N-sam,BE0002131
Proto-oncogene c-Fgr,BE0002131
2.7.10.1,BE0001203
FGFR-4,BE0001203
JTK2,BE0001203
TKF,BE0001203
2.7.10.1,BE0002133
FGFR-3,BE0002133
JTK4,BE0002133
HSPG,BE0001031
Perlecan,BE0001031
PLC,BE0001031
GL-R,BE0000527
GLP-2 receptor,BE0002134
GLP-1 receptor,BE0000857
SYB2,BE0002137
Synaptobrevin-2,BE0002137
VAMP-2,BE0002137
SYB1,BE0002136
Synaptobrevin-1,BE0002136
VAMP-1,BE0002136
Synaptotagmin II,BE0002138
SytII,BE0002138
Fc-epsilon RI-alpha,BE0000015
FCE1A,BE0000015
FcERI,BE0000015
IgE Fc receptor subunit alpha,BE0000015
APY,BE0002139
Fc epsilon receptor I beta-chain,BE0002139
FCER1B,BE0002139
FcERI,BE0002139
IgE Fc receptor subunit beta,BE0002139
IGER,BE0002139
Membrane-spanning 4-domains subfamily A member 2,BE0002139
TIL4,BE0001164
Toll/interleukin-1 receptor-like protein 4,BE0001164
Alpha-1 type I collagen,BE0000025
Alpha-1 type II collagen,BE0002140
Collagen alpha-1(III) chain precursor,BE0002130
III,BE0002130
Alpha-2 type I collagen,BE0002141
GH receptor,BE0000075
Somatotropin receptor,BE0000075
PRL-R,BE0000345
GP3A,BE0001155
GPIIIa,BE0001155
Platelet membrane glycoprotein IIIa,BE0001155
GP2B,BE0000439
GPalpha IIb,BE0000439
GPIIb,BE0000439
ITGAB,BE0000439
Platelet membrane glycoprotein IIb,BE0000439
S-protein,BE0001068
Serum-spreading factor,BE0001068
V75,BE0001068
VN,BE0001068
AHF,BE0000016
Antihemophilic factor,BE0000016
F8C,BE0000016
Procoagulant component,BE0000016
Activated protein C cofactor,BE0000041
"Proaccelerin, labile factor",BE0000041
Fetomodulin,BE0001151
THRM,BE0001151
TM,BE0001151
PROS,BE0000943
C-X-C motif chemokine 4,BE0001129
CXCL4,BE0001129
Iroplact,BE0001129
Oncostatin-A,BE0001129
PF-4,BE0001129
SCYB4,BE0001129
CAP,BE0002142
Cytoplasmic antiproteinase,BE0002142
Peptidase inhibitor 6,BE0002142
PI-6,BE0002142
PI6,BE0002142
Placental thrombin inhibitor,BE0002142
PTI,BE0002142
Activated protein C receptor,BE0001161
APC receptor,BE0001161
Endothelial cell protein C receptor,BE0001161
EPCR,BE0001161
gp67,BE0000674
Sialic acid-binding Ig-like lectin 3,BE0000674
Siglec-3,BE0000674
SIGLEC3,BE0000674
3.4.21.37,BE0000394
Bone marrow serine protease,BE0000394
ELA2,BE0000394
Elastase-2,BE0000394
HLE,BE0000394
Human leukocyte elastase,BE0000394
Medullasin,BE0000394
PMN elastase,BE0000394
Adapter protein GRB2,BE0000917
ASH,BE0000917
Protein Ash,BE0000917
SH2/SH3 adapter GRB2,BE0000917
TGF-beta-1,BE0000984
TGFB,BE0000984
3.4.24.56,BE0001183
Abeta-degrading protease,BE0001183
Insulin protease,BE0001183
Insulinase,BE0001183
Insulysin,BE0001183
DX alpha chain,BE0002122
"HLA class II histocompatibility antigen, DQ(6) alpha chain",BE0002122
HLA-DQA1,BE0002122
HLA-DXA,BE0002122
MHC class II DQA2,BE0002122
HLA-DQB,BE0004466
MHC class II antigen DQB1,BE0004466
3.4.23.5,BE0000941
CPSD,BE0000941
3.4.21.94,BE0002124
KEX2-like endoprotease 2,BE0002124
NEC 2,BE0002124
NEC2,BE0002124
PC2,BE0002124
Prohormone convertase 2,BE0002124
Proprotein convertase 2,BE0002124
3.4.21.93,BE0002125
NEC 1,BE0002125
NEC1,BE0002125
PC1,BE0002125
Prohormone convertase 1,BE0002125
Proprotein convertase 1,BE0002125
CCN family member 3,BE0001147
CCN3,BE0001147
IBP-9,BE0001147
IGF-binding protein 9,BE0001147
IGFBP-9,BE0001147
IGFBP9,BE0001147
Insulin-like growth factor-binding protein 9,BE0001147
Nephroblastoma-overexpressed gene protein homolog,BE0001147
NOVH,BE0001147
IBP-7,BE0002126
IGFBP-rP1,BE0002126
MAC25,BE0002126
MAC25 protein,BE0002126
PGI2-stimulating factor,BE0002126
Prostacyclin-stimulating factor,BE0002126
PSF,BE0002126
TAF,BE0002126
Tumor-derived adhesion factor,BE0002126
Exophilin-2,BE0002127
Granuphilin,BE0002127
2.7.10.1,BE0000511
HER2,BE0000511
Metastatic lymph node gene 19 protein,BE0000511
MLN 19,BE0000511
MLN19,BE0000511
NEU,BE0000511
NGL,BE0000511
p185erbB2,BE0000511
Proto-oncogene c-ErbB-2,BE0000511
Proto-oncogene Neu,BE0000511
Tyrosine kinase-type cell surface receptor HER2,BE0000511
B-lymphocyte surface antigen B1,BE0000066
Bp35,BE0000066
CD20,BE0000066
Leukocyte surface antigen Leu-16,BE0000066
Membrane-spanning 4-domains subfamily A member 1,BE0000066
T-cell receptor T3 delta chain,BE0003456
T3D,BE0003456
T-cell surface antigen T3/Leu-4 epsilon chain,BE0000274
T3E,BE0000274
T-cell receptor T3 gamma chain,BE0003457
T3G,BE0003457
CD3Z,BE0003458
T-cell receptor T3 zeta chain,BE0003458
T3Z,BE0003458
TCRZ,BE0003458
SNAP,BE0000390
SNAP-25,BE0000390
SUP,BE0000390
Super protein,BE0000390
Synaptosomal-associated 25 kDa protein,BE0000390
ARH6,BE0003572
ARHB,BE0003572
h6,BE0003572
Rho cDNA clone 6,BE0003572
CF2R,BE0000928
Coagulation factor II receptor,BE0000928
PAR-1,BE0000928
PAR1,BE0000928
Thrombin receptor,BE0000928
TR,BE0000928
Cambridge pathology 1 antigen,BE0000083
CDW52,BE0000083
Epididymal secretory protein E5,BE0000083
HE5,BE0000083
Human epididymis-specific protein 5,BE0000083
3.4.17.21,BE0000568
Cell growth-inhibiting gene 27 protein,BE0000568
FGCP,BE0000568
Folate hydrolase 1,BE0000568
FOLH,BE0000568
Folylpoly-gamma-glutamate carboxypeptidase,BE0000568
GCPII,BE0000568
Glutamate carboxypeptidase II,BE0000568
Membrane glutamate carboxypeptidase,BE0000568
mGCP,BE0000568
N-acetylated-alpha-linked acidic dipeptidase I,BE0000568
NAALAD1,BE0000568
NAALADase I,BE0000568
Prostate-specific membrane antigen,BE0000568
PSM,BE0000568
PSMA,BE0000568
Pteroylpoly-gamma-glutamate carboxypeptidase,BE0000568
CAML,BE0000379
Calcineurin B-like protein,BE0002143
Calcineurin BII,BE0002143
CBLP,BE0002143
CNBII,BE0002143
PPP3R1-like,BE0002143
PPP3RL,BE0002143
Protein phosphatase 2B regulatory subunit 2,BE0002143
Protein phosphatase 3 regulatory subunit B beta isoform,BE0002143
5.2.1.8,BE0001014
Cyclophilin A,BE0001014
Cyclosporin A-binding protein,BE0001014
CYPA,BE0001014
PPIase A,BE0001014
Rotamase A,BE0001014
5.2.1.8,BE0001399
Cyclophilin D,BE0001399
Cyclophilin F,BE0001399
CyP-D,BE0001399
CyP-M,BE0001399
CYP3,BE0001399
CypD,BE0001399
Mitochondrial cyclophilin,BE0001399
PPIase F,BE0001399
Rotamase F,BE0001399
Erythrocyte receptor,BE0000719
LFA-2,BE0000719
LFA-3 receptor,BE0000719
Rosette receptor,BE0000719
SRBC,BE0000719
T-cell surface antigen T11/Leu-5,BE0000719
CD11 antigen-like family member A,BE0000516
CD11A,BE0000516
Leukocyte adhesion glycoprotein LFA-1 alpha chain,BE0000516
Leukocyte function-associated molecule 1 alpha chain,BE0000516
LFA-1A,BE0000516
CD11 antigen-like family member C,BE0009967
CD11C,BE0009967
Leu M5,BE0009967
"Leukocyte adhesion glycoprotein p150,95 alpha chain",BE0009967
"Leukocyte adhesion receptor p150,95",BE0009967
hTa1 thymocyte antigen,BE0000598
T-cell surface antigen T6/Leu-6,BE0000598
Class I histocompatibility antigen-like protein,BE0003573
MHC class I-related gene protein,BE0003573
Activation B7-2 antigen,BE0000846
B70,BE0000846
BU63,BE0000846
CD28LG2,BE0000846
CTLA-4 counter-receptor B7.2,BE0000846
FUN-1,BE0000846
T-cell surface antigen T4/Leu-3,BE0003488
Fibronectin receptor subunit beta,BE0003575
FNRB,BE0003575
Glycoprotein IIa,BE0003575
GPIIA,BE0003575
MDF2,BE0003575
MSK12,BE0003575
VLA-4 subunit beta,BE0003575
MSK8,BE0003576
Vitronectin receptor subunit alpha,BE0003576
VNRA,BE0003576
3.4.21.27,BE0001021
FXI,BE0001021
Plasma thromboplastin antecedent,BE0001021
PTA,BE0001021
2.7.10.1,BE0000205
Beta platelet-derived growth factor receptor,BE0000205
Beta-type platelet-derived growth factor receptor,BE0000205
CD140 antigen-like family member B,BE0000205
PDGF-R-beta,BE0000205
PDGFR,BE0000205
PDGFR-1,BE0000205
PDGFR1,BE0000205
Platelet-derived growth factor receptor 1,BE0000205
2.7.10.1,BE0000852
Alpha platelet-derived growth factor receptor,BE0000852
Alpha-type platelet-derived growth factor receptor,BE0000852
CD140 antigen-like family member A,BE0000852
CD140a antigen,BE0000852
PDGF-R-alpha,BE0000852
PDGFR-2,BE0000852
PDGFR2,BE0000852
Platelet-derived growth factor alpha receptor,BE0000852
Platelet-derived growth factor receptor 2,BE0000852
RHEPDGFRA,BE0000852
Alpha-2-M,BE0000910
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5,BE0000910
CPAMD5,BE0000910
OT-R,BE0000844
OT,BE0000751
OT-NPI,BE0000751
CD49 antigen-like family member D,BE0000590
CD49D,BE0000590
Integrin alpha-IV,BE0000590
VLA-4 subunit alpha,BE0000590
ICAM-1,BE0001085
Major group rhinovirus receptor,BE0001085
Fusion glycoprotein F0 precursor,BE0000686
3.4.21.41,BE0002093
Complement component 1 subcomponent r,BE0002093
Vascular permeability factor,BE0000163
VEGF,BE0000163
VEGF-A,BE0000163
VPF,BE0000163
BGP,BE0000107
BGP-1,BE0000107
BGP1,BE0000107
Biliary glycoprotein 1,BE0000107
(R)-3-amino-2-methylpropionate--pyruvate transaminase,BE0000102
2.6.1.44,BE0000102
AGT 2,BE0000102
AGT2,BE0000102
Beta-ALAAT II,BE0000102
Beta-alanine-pyruvate aminotransferase,BE0000102
D-AIBAT,BE0000102
4.1.1.15,BE0000378
67 kDa glutamic acid decarboxylase,BE0000378
GAD,BE0000378
GAD-67,BE0000378
GAD67,BE0000378
Glutamate decarboxylase 67 kDa isoform,BE0000378
4.2.1.22,BE0000323
Beta-thionase,BE0000323
Serine sulfhydrase,BE0000323
3.7.1.3,BE0000392
L-kynurenine hydrolase,BE0000392
2.1.2.1,BE0000331
Glycine hydroxymethyltransferase,BE0000331
Serine methylase,BE0000331
SHMT,BE0000331
2.8.1.7,BE0000151
NIFS,BE0000151
2.6.1.1,BE0000529
cAspAT,BE0000529
cCAT,BE0000529
"Cysteine aminotransferase, cytoplasmic",BE0000529
"Cysteine transaminase, cytoplasmic",BE0000529
Glutamate oxaloacetate transaminase 1,BE0000529
Transaminase A,BE0000529
2.6.1.13,BE0000424
Ornithine delta-aminotransferase,BE0000424
Ornithine--oxo-acid aminotransferase,BE0000424
4.1.1.17,BE0000404
ODC,BE0000404
2-aminoadipate aminotransferase,BE0000727
2-aminoadipate transaminase,BE0000727
AadAT,BE0000727
Alpha-aminoadipate aminotransferase,BE0000727
KAT/AadAT,BE0000727
KAT2,BE0000727
Kynurenine aminotransferase II,BE0000727
Kynurenine--oxoglutarate aminotransferase II,BE0000727
Kynurenine--oxoglutarate transaminase 2,BE0000727
Kynurenine--oxoglutarate transaminase II,BE0000727
(S)-3-amino-2-methylpropionate transaminase,BE0000253
2.6.1.19,BE0000253
GABA aminotransferase,BE0000253
GABA transaminase,BE0000253
GABA-AT,BE0000253
GABA-T,BE0000253
GABAT,BE0000253
Gamma-amino-N-butyrate transaminase,BE0000253
L-AIBAT,BE0000253
1.4.3.5,BE0000181
Pyridoxamine-phosphate oxidase,BE0000181
4.1.2.27,BE0000778
KIAA1252,BE0000778
S1PL,BE0000778
Sphingosine-1-phosphate aldolase,BE0000778
2.6.1.5,BE0000692
L-tyrosine:2-oxoglutarate aminotransferase,BE0000692
TAT,BE0000692
2.6.1.7,BE0000273
Cysteine-S-conjugate beta-lyase,BE0000273
Glutamine transaminase K,BE0000273
Glutamine--phenylpyruvate transaminase,BE0000273
GTK,BE0000273
KATI,BE0000273
Kynurenine aminotransferase I,BE0000273
Kynurenine--oxoglutarate transaminase I,BE0000273
2.3.1.50,BE0000660
KIAA0526,BE0000660
LCB 2,BE0000660
LCB2,BE0000660
LCB2a,BE0000660
Long chain base biosynthesis protein 2,BE0000660
Long chain base biosynthesis protein 2a,BE0000660
Serine-palmitoyl-CoA transferase 2,BE0000660
SPT 2,BE0000660
4.1.1.29,BE0000079
CSD,BE0000079
Cysteine-sulfinate decarboxylase,BE0000079
Sulfinoalanine decarboxylase,BE0000079
4.1.1.22,BE0000002
HDC,BE0000002
ADC,BE0000448
ARGDC,BE0000448
Arginine decarboxylase,BE0000448
AzI2,BE0000448
KIAA1945,BE0000448
ODC-like protein,BE0000448
ODC-p,BE0000448
ODCP,BE0000448
ornithine decarboxylase paralog,BE0000448
Ornithine decarboxylase-like protein,BE0000448
4.3.1.17,BE0000164
L-serine deaminase,BE0000164
L-threonine dehydratase,BE0000164
SDH,BE0000164
TDH,BE0000164
2.3.1.29,BE0000518
AKB ligase,BE0000518
Aminoacetone synthase,BE0000518
Glycine acetyltransferase,BE0000518
KBL,BE0000518
1.4.4.2,BE0000618
GCSP,BE0000618
Glycine cleavage system P protein,BE0000618
Glycine decarboxylase,BE0000618
Glycine dehydrogenase (aminomethyl-transferring),BE0000618
2.6.1.2,BE0000667
AAT1,BE0000667
ALT1,BE0000667
Glutamate pyruvate transaminase 1,BE0000667
Glutamic--alanine transaminase 1,BE0000667
Glutamic--pyruvic transaminase 1,BE0000667
GPT 1,BE0000667
GPT1,BE0000667
2.6.1.52,BE0000603
Phosphohydroxythreonine aminotransferase,BE0000603
PSA,BE0000603
PSAT,BE0000603
2.3.1.37,BE0000409
5-aminolevulinic acid synthase 1,BE0000409
ALAS-H,BE0000409
ALAS3,BE0000409
ALASH,BE0000409
Delta-ALA synthase 1,BE0000409
Delta-aminolevulinate synthase 1,BE0000409
2.6.1.51,BE0000316
AGT,BE0000316
AGT1,BE0000316
Alanine--glyoxylate aminotransferase,BE0000316
SPAT,BE0000316
SPT,BE0000316
3.1.3.3,BE0000278
Chronophin,BE0000278
CIN,BE0000278
PLP,BE0000278
PLP phosphatase,BE0000278
PLPP,BE0000278
2.3.1.50,BE0000441
LCB 1,BE0000441
LCB1,BE0000441
Long chain base biosynthesis protein 1,BE0000441
Serine-palmitoyl-CoA transferase 1,BE0000441
SPT 1,BE0000441
SPT1,BE0000441
4.4.1.1,BE0000791
Cysteine-protein sulfhydrase,BE0000791
Gamma-cystathionase,BE0000791
2.6.1.42,BE0000517
BCAT(c),BE0000517
BCT1,BE0000517
ECA39,BE0000517
Protein ECA39,BE0000517
2.6.1.42,BE0000721
BCAT(m),BE0000721
BCATM,BE0000721
BCT2,BE0000721
ECA40,BE0000721
Placental protein 18,BE0000721
PP18,BE0000721
2.6.1.1,BE0000383
FABP-1,BE0000383
FABPpm,BE0000383
Fatty acid-binding protein,BE0000383
Glutamate oxaloacetate transaminase 2,BE0000383
Kynurenine aminotransferase 4,BE0000383
Kynurenine aminotransferase IV,BE0000383
Kynurenine--oxoglutarate transaminase 4,BE0000383
Kynurenine--oxoglutarate transaminase IV,BE0000383
mAspAT,BE0000383
Plasma membrane-associated fatty acid-binding protein,BE0000383
Transaminase A,BE0000383
2.4.1.1,BE0002150
2.4.1.1,BE0000916
Myophosphorylase,BE0000916
4.1.1.28,BE0002151
AADC,BE0002151
DDC,BE0002151
DOPA decarboxylase,BE0002151
2.6.1.1,BE0002152
2.1.2.1,BE0002154
2.4.1.1,BE0002156
2.3.1.37,BE0002158
5-aminolevulinic acid synthase,BE0002158
Delta-ALA synthase,BE0002158
Delta-aminolevulinate synthase,BE0002158
"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa), isoform CRA_b",BE0002159
2.6.1.7,BE0002162
Cysteine-S-conjugate beta-lyase 2,BE0002162
KAT3,BE0002162
KATIII,BE0002162
Kynurenine aminotransferase III,BE0002162
Kynurenine--glyoxylate transaminase,BE0002162
Kynurenine--oxoglutarate transaminase III,BE0002162
ADC,BE0002163
Aspartate 1-decarboxylase,BE0002163
CSADC,BE0002163
Cysteine sulfinic acid decarboxylase,BE0002163
Glutamate decarboxylase-like protein 1,BE0002163
HuADC,BE0002163
HuCSADC,BE0002163
4.4.1.16,BE0004605
hSCL,BE0004605
SCL,BE0004605
Calvaria mechanical force protein 608,BE0004612
CMF608,BE0004612
IgSF10,BE0004612
4.2.3.134,BE0002164
AGXT2L2,BE0002164
Alanine--glyoxylate aminotransferase 2-like 2,BE0002164
