resource,identifier,parent_key
GenBank Protein Database,189652,BE0002124
Guide to Pharmacology,2383,BE0002124
UniProtKB,P16519,BE0002124
UniProt Accession,NEC2_HUMAN,BE0002124
HUGO Gene Nomenclature Committee (HGNC),HGNC:8743,BE0002125
GenAtlas,PCSK1,BE0002125
GenBank Gene Database,X64810,BE0002125
GenBank Protein Database,35318,BE0002125
Guide to Pharmacology,2382,BE0002125
UniProtKB,P29120,BE0002125
UniProt Accession,NEC1_HUMAN,BE0002125
HUGO Gene Nomenclature Committee (HGNC),HGNC:9604,BE0000017
GenAtlas,PTGS1,BE0000017
GenBank Gene Database,M31822,BE0000017
GenBank Protein Database,387018,BE0000017
Guide to Pharmacology,1375,BE0000017
UniProtKB,P23219,BE0000017
UniProt Accession,PGH1_HUMAN,BE0000017
HUGO Gene Nomenclature Committee (HGNC),HGNC:9605,BE0000262
GenAtlas,PTGS2,BE0000262
GenBank Gene Database,L15326,BE0000262
GenBank Protein Database,291988,BE0000262
Guide to Pharmacology,1376,BE0000262
UniProtKB,P35354,BE0000262
UniProt Accession,PGH2_HUMAN,BE0000262
HUGO Gene Nomenclature Committee (HGNC),HGNC:9035,BE0000657
GenAtlas,PLA2G4A,BE0000657
GenBank Gene Database,M72393,BE0000657
GenBank Protein Database,190007,BE0000657
Guide to Pharmacology,1424,BE0000657
UniProtKB,P47712,BE0000657
UniProt Accession,PA24A_HUMAN,BE0000657
HUGO Gene Nomenclature Committee (HGNC),HGNC:2637,BE0002638
GenAtlas,CYP3A4,BE0002638
GenBank Gene Database,M18907,BE0002638
Guide to Pharmacology,1337,BE0002638
UniProtKB,P08684,BE0002638
UniProt Accession,CP3A4_HUMAN,BE0002638
HUGO Gene Nomenclature Committee (HGNC),HGNC:12805,BE0002204
GenAtlas,XDH,BE0002204
GenBank Gene Database,D11456,BE0002204
GenBank Protein Database,10336525,BE0002204
Guide to Pharmacology,2646,BE0002204
UniProtKB,P47989,BE0002204
UniProt Accession,XDH_HUMAN,BE0002204
HUGO Gene Nomenclature Committee (HGNC),HGNC:2631,BE0003533
GenBank Gene Database,J02625,BE0003533
GenBank Protein Database,181360,BE0003533
Guide to Pharmacology,1330,BE0003533
UniProtKB,P05181,BE0003533
UniProt Accession,CP2E1_HUMAN,BE0003533
HUGO Gene Nomenclature Committee (HGNC),HGNC:2605,BE0000549
GenAtlas,CYP27A1,BE0000549
GenBank Gene Database,M62401,BE0000549
GenBank Protein Database,181292,BE0000549
Guide to Pharmacology,1369,BE0000549
UniProtKB,Q02318,BE0000549
UniProt Accession,CP27A_HUMAN,BE0000549
HUGO Gene Nomenclature Committee (HGNC),HGNC:4341,BE0002240
GenAtlas,GLUL,BE0002240
GenBank Gene Database,Y00387,BE0002240
GenBank Protein Database,31833,BE0002240
UniProtKB,P15104,BE0002240
UniProt Accession,GLNA_HUMAN,BE0002240
HUGO Gene Nomenclature Committee (HGNC),HGNC:2620,BE0003611
GenBank Gene Database,M61853,BE0003611
Guide to Pharmacology,1327,BE0003611
UniProtKB,P33260,BE0003611
UniProt Accession,CP2CI_HUMAN,BE0003611
HUGO Gene Nomenclature Committee (HGNC),HGNC:983,BE0002180
GenAtlas,BCHE,BE0002180
GenBank Gene Database,M32391,BE0002180
GenBank Protein Database,1311630,BE0002180
Guide to Pharmacology,2471,BE0002180
UniProtKB,P06276,BE0002180
UniProt Accession,CHLE_HUMAN,BE0002180
HUGO Gene Nomenclature Committee (HGNC),HGNC:2642,BE0000421
GenAtlas,CYP4A11,BE0000421
GenBank Gene Database,L04751,BE0000421
GenBank Protein Database,181397,BE0000421
UniProtKB,Q02928,BE0000421
UniProt Accession,CP4AB_HUMAN,BE0000421
HUGO Gene Nomenclature Committee (HGNC),HGNC:2638,BE0002362
GenAtlas,CYP3A5,BE0002362
GenBank Gene Database,J04813,BE0002362
GenBank Protein Database,181346,BE0002362
Guide to Pharmacology,1338,BE0002362
UniProtKB,P20815,BE0002362
UniProt Accession,CP3A5_HUMAN,BE0002362
HUGO Gene Nomenclature Committee (HGNC),HGNC:2621,BE0003536
GenBank Gene Database,M61854,BE0003536
GenBank Protein Database,181344,BE0003536
Guide to Pharmacology,1328,BE0003536
UniProtKB,P33261,BE0003536
UniProt Accession,CP2CJ_HUMAN,BE0003536
HUGO Gene Nomenclature Committee (HGNC),HGNC:9358,BE0002148
GenAtlas,PREP,BE0002148
GenBank Gene Database,X74496,BE0002148
GenBank Protein Database,558596,BE0002148
Guide to Pharmacology,2395,BE0002148
UniProtKB,P48147,BE0002148
UniProt Accession,PPCE_HUMAN,BE0002148
HUGO Gene Nomenclature Committee (HGNC),HGNC:19331,BE0000456
GenAtlas,MMAB,BE0000456
GenBank Gene Database,AF550404,BE0000456
GenBank Protein Database,26284726,BE0000456
UniProtKB,Q96EY8,BE0000456
UniProt Accession,MMAB_HUMAN,BE0000456
GenBank Gene Database,AE008789,BE0002668
UniProtKB,Q05599,BE0002668
UniProt Accession,COBU_SALTY,BE0002668
HUGO Gene Nomenclature Committee (HGNC),HGNC:11296,BE0000300
GenAtlas,SRM,BE0000300
GenBank Gene Database,M34338,BE0000300
GenBank Protein Database,531202,BE0000300
UniProtKB,P19623,BE0000300
UniProt Accession,SPEE_HUMAN,BE0000300
HUGO Gene Nomenclature Committee (HGNC),HGNC:2597,BE0001111
GenAtlas,CYP1B1,BE0001111
GenBank Gene Database,U03688,BE0001111
GenBank Protein Database,501031,BE0001111
Guide to Pharmacology,1320,BE0001111
UniProtKB,Q16678,BE0001111
UniProt Accession,CP1B1_HUMAN,BE0001111
HUGO Gene Nomenclature Committee (HGNC),HGNC:24289,BE0002190
GenAtlas,CEPT1,BE0002190
GenBank Gene Database,AF068302,BE0002190
GenBank Protein Database,4584877,BE0002190
UniProtKB,Q9Y6K0,BE0002190
UniProt Accession,CEPT1_HUMAN,BE0002190
HUGO Gene Nomenclature Committee (HGNC),HGNC:1938,BE0000237
GenAtlas,CHKB,BE0000237
GenBank Gene Database,AB029885,BE0000237
GenBank Protein Database,5509940,BE0000237
UniProtKB,Q9Y259,BE0000237
UniProt Accession,CHKB_HUMAN,BE0000237
HUGO Gene Nomenclature Committee (HGNC),HGNC:1912,BE0000519
GenAtlas,CHAT,BE0000519
GenBank Gene Database,S56138,BE0000519
GenBank Protein Database,301096,BE0000519
UniProtKB,P28329,BE0000519
UniProt Accession,CLAT_HUMAN,BE0000519
HUGO Gene Nomenclature Committee (HGNC),HGNC:1937,BE0000784
GenAtlas,CHKA,BE0000784
GenBank Gene Database,D10704,BE0000784
GenBank Protein Database,219541,BE0000784
UniProtKB,P35790,BE0000784
UniProt Accession,CHKA_HUMAN,BE0000784
HUGO Gene Nomenclature Committee (HGNC),HGNC:24288,BE0000636
GenAtlas,CHDH,BE0000636
GenBank Gene Database,BC034502,BE0000636
GenBank Protein Database,21759795,BE0000636
UniProtKB,Q8NE62,BE0000636
UniProt Accession,CHDH_HUMAN,BE0000636
HUGO Gene Nomenclature Committee (HGNC),HGNC:12437,BE0001979
GenAtlas,TXNRD1,BE0001979
GenBank Gene Database,X91247,BE0001979
GenBank Protein Database,1237038,BE0001979
UniProtKB,Q16881,BE0001979
UniProt Accession,TRXR1_HUMAN,BE0001979
HUGO Gene Nomenclature Committee (HGNC),HGNC:10540,BE0000111
GenAtlas,SAT1,BE0000111
GenBank Gene Database,M77693,BE0000111
GenBank Protein Database,338392,BE0000111
UniProtKB,P21673,BE0000111
UniProt Accession,SAT1_HUMAN,BE0000111
HUGO Gene Nomenclature Committee (HGNC),HGNC:23160,BE0000275
GenAtlas,SAT2,BE0000275
GenBank Gene Database,AF348524,BE0000275
GenBank Protein Database,19070527,BE0000275
UniProtKB,Q96F10,BE0000275
UniProt Accession,SAT2_HUMAN,BE0000275
HUGO Gene Nomenclature Committee (HGNC),HGNC:1424,BE0002227
GenAtlas,CAD,BE0002227
GenBank Gene Database,D78586,BE0002227
GenBank Protein Database,1228049,BE0002227
UniProtKB,P27708,BE0002227
UniProt Accession,PYR1_HUMAN,BE0002227
HUGO Gene Nomenclature Committee (HGNC),HGNC:3531,BE0000004
GenAtlas,F13A1,BE0000004
GenBank Gene Database,M22001,BE0000004
GenBank Protein Database,182309,BE0000004
UniProtKB,P00488,BE0000004
UniProt Accession,F13A_HUMAN,BE0000004
HUGO Gene Nomenclature Committee (HGNC),HGNC:4331,BE0000825
GenAtlas,GLS,BE0000825
GenBank Gene Database,AF158555,BE0000825
GenBank Protein Database,5690372,BE0000825
UniProtKB,O94925,BE0000825
UniProt Accession,GLSK_HUMAN,BE0000825
HUGO Gene Nomenclature Committee (HGNC),HGNC:29570,BE0000003
GenAtlas,GLS2,BE0000003
GenBank Gene Database,AF110330,BE0000003
GenBank Protein Database,6650606,BE0000003
UniProtKB,Q9UI32,BE0000003
UniProt Accession,GLSL_HUMAN,BE0000003
HUGO Gene Nomenclature Committee (HGNC),HGNC:11778,BE0001035
GenAtlas,TGM2,BE0001035
GenBank Gene Database,M55153,BE0001035
GenBank Protein Database,339521,BE0001035
UniProtKB,P21980,BE0001035
UniProt Accession,TGM2_HUMAN,BE0001035
HUGO Gene Nomenclature Committee (HGNC),HGNC:11781,BE0002236
GenAtlas,TGM5,BE0002236
GenBank Gene Database,AF035960,BE0002236
GenBank Protein Database,2895530,BE0002236
UniProtKB,O43548,BE0002236
UniProt Accession,TGM5_HUMAN,BE0002236
HUGO Gene Nomenclature Committee (HGNC),HGNC:16255,BE0002239
GenAtlas,TGM6,BE0002239
GenBank Gene Database,AF540969,BE0002239
UniProtKB,O95932,BE0002239
UniProt Accession,TGM3L_HUMAN,BE0002239
HUGO Gene Nomenclature Committee (HGNC),HGNC:11777,BE0002241
GenAtlas,TGM1,BE0002241
GenBank Gene Database,M98447,BE0002241
GenBank Protein Database,1256959,BE0002241
UniProtKB,P22735,BE0002241
UniProt Accession,TGM1_HUMAN,BE0002241
HUGO Gene Nomenclature Committee (HGNC),HGNC:11780,BE0002243
GenAtlas,TGM4,BE0002243
GenBank Gene Database,L34840,BE0002243
GenBank Protein Database,2766556,BE0002243
UniProtKB,P49221,BE0002243
UniProt Accession,TGM4_HUMAN,BE0002243
HUGO Gene Nomenclature Committee (HGNC),HGNC:11779,BE0001273
GenAtlas,TGM3,BE0001273
GenBank Gene Database,L10386,BE0001273
GenBank Protein Database,307504,BE0001273
UniProtKB,Q08188,BE0001273
UniProt Accession,TGM3_HUMAN,BE0001273
HUGO Gene Nomenclature Committee (HGNC),HGNC:30790,BE0002245
GenAtlas,TGM7,BE0002245
GenBank Gene Database,AF363393,BE0002245
GenBank Protein Database,15425755,BE0002245
UniProtKB,Q96PF1,BE0002245
UniProt Accession,TGM7_HUMAN,BE0002245
HUGO Gene Nomenclature Committee (HGNC),HGNC:4378,BE0000321
GenAtlas,GMPS,BE0000321
GenBank Gene Database,U10860,BE0000321
GenBank Protein Database,595410,BE0000321
UniProtKB,P49915,BE0000321
UniProt Accession,GUAA_HUMAN,BE0000321
HUGO Gene Nomenclature Committee (HGNC),HGNC:753,BE0000219
GenAtlas,ASNS,BE0000219
GenBank Gene Database,M27396,BE0000219
GenBank Protein Database,179100,BE0000219
UniProtKB,P08243,BE0000219
UniProt Accession,ASNS_HUMAN,BE0000219
HUGO Gene Nomenclature Committee (HGNC),HGNC:1564,BE0000273
GenAtlas,CCBL1,BE0000273
GenBank Gene Database,X82224,BE0000273
GenBank Protein Database,758591,BE0000273
Guide to Pharmacology,1445,BE0000273
UniProtKB,Q16773,BE0000273
UniProt Accession,KAT1_HUMAN,BE0000273
HUGO Gene Nomenclature Committee (HGNC),HGNC:8863,BE0002235
GenAtlas,PFAS,BE0002235
GenBank Gene Database,AB002359,BE0002235
GenBank Protein Database,2224663,BE0002235
UniProtKB,O15067,BE0002235
UniProt Accession,PUR4_HUMAN,BE0002235
HUGO Gene Nomenclature Committee (HGNC),HGNC:8849,BE0002237
GenAtlas,PET112L,BE0002237
GenBank Gene Database,AF026851,BE0002237
GenBank Protein Database,3599964,BE0002237
UniProtKB,O75879,BE0002237
UniProt Accession,GATB_HUMAN,BE0002237
HUGO Gene Nomenclature Committee (HGNC),HGNC:4242,BE0002238
GenAtlas,GFPT2,BE0002238
GenBank Gene Database,AB016789,BE0002238
GenBank Protein Database,4239883,BE0002238
UniProtKB,O94808,BE0002238
UniProt Accession,GFPT2_HUMAN,BE0002238
HUGO Gene Nomenclature Committee (HGNC),HGNC:9751,BE0002242
GenAtlas,QARS,BE0002242
GenBank Gene Database,X76013,BE0002242
GenBank Protein Database,558586,BE0002242
UniProtKB,P47897,BE0002242
UniProt Accession,SYQ_HUMAN,BE0002242
HUGO Gene Nomenclature Committee (HGNC),HGNC:29832,BE0002244
GenAtlas,NADSYN1,BE0002244
GenBank Gene Database,AB091316,BE0002244
GenBank Protein Database,28849201,BE0002244
UniProtKB,Q6IA69,BE0002244
UniProt Accession,NADE_HUMAN,BE0002244
HUGO Gene Nomenclature Committee (HGNC),HGNC:468,BE0000352
GenAtlas,AMPD1,BE0000352
GenBank Gene Database,M37931,BE0000352
GenBank Protein Database,10864686,BE0000352
UniProtKB,P23109,BE0000352
UniProt Accession,AMPD1_HUMAN,BE0000352
HUGO Gene Nomenclature Committee (HGNC),HGNC:626,BE0000115
GenAtlas,APRT,BE0000115
GenBank Gene Database,Y00486,BE0000115
GenBank Protein Database,28819,BE0000115
UniProtKB,P07741,BE0000115
UniProt Accession,APT_HUMAN,BE0000115
HUGO Gene Nomenclature Committee (HGNC),HGNC:7436,BE0002176
GenAtlas,MTHFR,BE0002176
GenBank Gene Database,U09806,BE0002176
GenBank Protein Database,6139053,BE0002176
UniProtKB,P42898,BE0002176
UniProt Accession,MTHR_HUMAN,BE0002176
HUGO Gene Nomenclature Committee (HGNC),HGNC:6904,BE0000304
GenAtlas,MAT2A,BE0000304
GenBank Gene Database,X68836,BE0000304
GenBank Protein Database,36327,BE0000304
UniProtKB,P31153,BE0000304
UniProt Accession,METK2_HUMAN,BE0000304
HUGO Gene Nomenclature Committee (HGNC),HGNC:17061,BE0000432
GenAtlas,MSRB2,BE0000432
GenBank Gene Database,AF151889,BE0000432
GenBank Protein Database,4929731,BE0000432
UniProtKB,Q9Y3D2,BE0000432
UniProt Accession,MSRB2_HUMAN,BE0000432
HUGO Gene Nomenclature Committee (HGNC),HGNC:6903,BE0000407
GenAtlas,MAT1A,BE0000407
GenBank Gene Database,D49357,BE0000407
GenBank Protein Database,220066,BE0000407
UniProtKB,Q00266,BE0000407
UniProt Accession,METK1_HUMAN,BE0000407
HUGO Gene Nomenclature Committee (HGNC),HGNC:14133,BE0000288
GenAtlas,SEPX1,BE0000288
GenBank Gene Database,AF166124,BE0000288
GenBank Protein Database,6649219,BE0000288
UniProtKB,Q9NZV6,BE0000288
UniProt Accession,MSRB1_HUMAN,BE0000288
HUGO Gene Nomenclature Committee (HGNC),HGNC:7377,BE0000170
GenAtlas,MSRA,BE0000170
GenBank Gene Database,AJ242973,BE0000170
GenBank Protein Database,6136945,BE0000170
UniProtKB,Q9UJ68,BE0000170
UniProt Accession,MSRA_HUMAN,BE0000170
HUGO Gene Nomenclature Committee (HGNC),HGNC:6898,BE0000543
GenAtlas,MARS,BE0000543
GenBank Gene Database,X94754,BE0000543
GenBank Protein Database,1702932,BE0000543
UniProtKB,P56192,BE0000543
UniProt Accession,SYMC_HUMAN,BE0000543
HUGO Gene Nomenclature Committee (HGNC),HGNC:25133,BE0002248
GenAtlas,MARS2,BE0002248
GenBank Gene Database,AB107013,BE0002248
GenBank Protein Database,37196758,BE0002248
UniProtKB,Q96GW9,BE0002248
UniProt Accession,SYMM_HUMAN,BE0002248
HUGO Gene Nomenclature Committee (HGNC),HGNC:6905,BE0002178
GenAtlas,MAT2B,BE0002178
GenBank Gene Database,AF182814,BE0002178
GenBank Protein Database,6815285,BE0002178
UniProtKB,Q9NZL9,BE0002178
UniProt Accession,MAT2B_HUMAN,BE0002178
HUGO Gene Nomenclature Committee (HGNC),HGNC:1048,BE0002249
GenAtlas,BHMT2,BE0002249
GenBank Gene Database,AF257473,BE0002249
GenBank Protein Database,11907831,BE0002249
UniProtKB,Q9H2M3,BE0002249
UniProt Accession,BHMT2_HUMAN,BE0002249
HUGO Gene Nomenclature Committee (HGNC),HGNC:2602,BE0002250
GenAtlas,CYP24A1,BE0002250
GenBank Gene Database,L13286,BE0002250
GenBank Protein Database,306704,BE0002250
Guide to Pharmacology,1365,BE0002250
UniProtKB,Q07973,BE0002250
UniProt Accession,CP24A_HUMAN,BE0002250
HUGO Gene Nomenclature Committee (HGNC),HGNC:10682,BE0002257
GenAtlas,SDHC,BE0002257
GenBank Gene Database,U57877,BE0002257
GenBank Protein Database,1814226,BE0002257
UniProtKB,Q99643,BE0002257
UniProt Accession,C560_HUMAN,BE0002257
HUGO Gene Nomenclature Committee (HGNC),HGNC:10680,BE0000176
GenAtlas,SDHA,BE0000176
GenBank Gene Database,D30648,BE0000176
GenBank Protein Database,506338,BE0000176
UniProtKB,P31040,BE0000176
UniProt Accession,SDHA_HUMAN,BE0000176
HUGO Gene Nomenclature Committee (HGNC),HGNC:11450,BE0000355
GenAtlas,SUCLG2,BE0000355
GenBank Gene Database,BC007716,BE0000355
GenBank Protein Database,133777003,BE0000355
UniProtKB,Q96I99,BE0000355
UniProt Accession,SUCB2_HUMAN,BE0000355
HUGO Gene Nomenclature Committee (HGNC),HGNC:8546,BE0009980
GenAtlas,P4HA1,BE0009980
GenBank Gene Database,M24486,BE0009980
GenBank Protein Database,190786,BE0009980
UniProtKB,P13674,BE0009980
UniProt Accession,P4HA1_HUMAN,BE0009980
HUGO Gene Nomenclature Committee (HGNC),HGNC:9083,BE0002195
GenAtlas,PLOD3,BE0002195
GenBank Gene Database,AF046889,BE0002195
GenBank Protein Database,3153235,BE0002195
UniProtKB,O60568,BE0002195
UniProt Accession,PLOD3_HUMAN,BE0002195
HUGO Gene Nomenclature Committee (HGNC),HGNC:19316,BE0002202
GenAtlas,LEPRE1,BE0002202
GenBank Gene Database,AF097431,BE0002202
GenBank Protein Database,11127636,BE0002202
UniProtKB,Q32P28,BE0002202
UniProt Accession,P3H1_HUMAN,BE0002202
HUGO Gene Nomenclature Committee (HGNC),HGNC:19317,BE0002206
GenAtlas,LEPREL1,BE0002206
GenBank Gene Database,AJ430351,BE0002206
GenBank Protein Database,27526730,BE0002206
UniProtKB,Q8IVL5,BE0002206
UniProt Accession,P3H2_HUMAN,BE0002206
HUGO Gene Nomenclature Committee (HGNC),HGNC:19318,BE0002208
GenAtlas,LEPREL2,BE0002208
GenBank Gene Database,U47924,BE0002208
GenBank Protein Database,1200503,BE0002208
UniProtKB,Q8IVL6,BE0002208
UniProt Accession,P3H3_HUMAN,BE0002208
HUGO Gene Nomenclature Committee (HGNC),HGNC:8527,BE0002256
GenAtlas,OXCT1,BE0002256
GenBank Gene Database,U62961,BE0002256
GenBank Protein Database,1519052,BE0002256
UniProtKB,P55809,BE0002256
UniProt Accession,SCOT1_HUMAN,BE0002256
HUGO Gene Nomenclature Committee (HGNC),HGNC:757,BE0000528
GenAtlas,ASPH,BE0000528
GenBank Gene Database,U03109,BE0000528
GenBank Protein Database,458032,BE0000528
UniProtKB,Q12797,BE0000528
UniProt Accession,ASPH_HUMAN,BE0000528
HUGO Gene Nomenclature Committee (HGNC),HGNC:6833,BE0002198
GenAtlas,MAOA,BE0002198
GenBank Gene Database,M68840,BE0002198
GenBank Protein Database,187353,BE0002198
Guide to Pharmacology,2489,BE0002198
UniProtKB,P21397,BE0002198
UniProt Accession,AOFA_HUMAN,BE0002198
HUGO Gene Nomenclature Committee (HGNC),HGNC:4627,BE0002189
GenAtlas,GSTA2,BE0002189
GenBank Gene Database,M16594,BE0002189
GenBank Protein Database,306811,BE0002189
UniProtKB,P09210,BE0002189
UniProt Accession,GSTA2_HUMAN,BE0002189
HUGO Gene Nomenclature Committee (HGNC),HGNC:4626,BE0002281
GenAtlas,GSTA1,BE0002281
GenBank Gene Database,M15872,BE0002281
GenBank Protein Database,306809,BE0002281
UniProtKB,P08263,BE0002281
UniProt Accession,GSTA1_HUMAN,BE0002281
HUGO Gene Nomenclature Committee (HGNC),HGNC:473,BE0000010
GenAtlas,AMT,BE0000010
GenBank Gene Database,D13811,BE0000010
GenBank Protein Database,391721,BE0000010
UniProtKB,P48728,BE0000010
UniProt Accession,GCST_HUMAN,BE0000010
HUGO Gene Nomenclature Committee (HGNC),HGNC:4313,BE0000618
GenAtlas,GLDC,BE0000618
GenBank Gene Database,M63635,BE0000618
GenBank Protein Database,190287,BE0000618
UniProtKB,P23378,BE0000618
UniProt Accession,GCSP_HUMAN,BE0000618
HUGO Gene Nomenclature Committee (HGNC),HGNC:2898,BE0000737
GenAtlas,DLD,BE0000737
GenBank Gene Database,J03490,BE0000737
GenBank Protein Database,307137,BE0000737
UniProtKB,P09622,BE0000737
UniProt Accession,DLDH_HUMAN,BE0000737
HUGO Gene Nomenclature Committee (HGNC),HGNC:4208,BE0002302
GenAtlas,GCSH,BE0002302
GenBank Gene Database,M69175,BE0002302
GenBank Protein Database,184348,BE0002302
UniProtKB,P23434,BE0002302
UniProt Accession,GCSH_HUMAN,BE0002302
HUGO Gene Nomenclature Committee (HGNC),HGNC:2606,BE0000443
GenAtlas,CYP27B1,BE0000443
GenBank Gene Database,AF027152,BE0000443
GenBank Protein Database,2612976,BE0000443
Guide to Pharmacology,1370,BE0000443
UniProtKB,O15528,BE0000443
UniProt Accession,CP27B_HUMAN,BE0000443
HUGO Gene Nomenclature Committee (HGNC),HGNC:11708,BE0003532
GenBank Gene Database,U32989,BE0003532
GenBank Protein Database,993046,BE0003532
UniProtKB,P48775,BE0003532
UniProt Accession,T23O_HUMAN,BE0003532
HUGO Gene Nomenclature Committee (HGNC),HGNC:2719,BE0002151
GenAtlas,DDC,BE0002151
GenBank Gene Database,M76180,BE0002151
GenBank Protein Database,181521,BE0002151
UniProtKB,P20711,BE0002151
UniProt Accession,DDC_HUMAN,BE0002151
GenBank Gene Database,M14742,BE0001343
GenBank Protein Database,143784,BE0001343
UniProtKB,P00953,BE0001343
UniProt Accession,SYW_GEOSE,BE0001343
HUGO Gene Nomenclature Committee (HGNC),HGNC:12730,BE0002311
GenAtlas,WARS2,BE0002311
GenBank Gene Database,AJ242739,BE0002311
GenBank Protein Database,6572289,BE0002311
UniProtKB,Q9UGM6,BE0002311
UniProt Accession,SYWM_HUMAN,BE0002311
HUGO Gene Nomenclature Committee (HGNC),HGNC:12008,BE0000121
GenAtlas,TPH1,BE0000121
GenBank Gene Database,X52836,BE0000121
GenBank Protein Database,37955,BE0000121
UniProtKB,P17752,BE0000121
UniProt Accession,TPH1_HUMAN,BE0000121
HUGO Gene Nomenclature Committee (HGNC),HGNC:20692,BE0000080
GenAtlas,TPH2,BE0000080
GenBank Gene Database,AY098914,BE0000080
GenBank Protein Database,27497159,BE0000080
UniProtKB,Q8IWU9,BE0000080
UniProt Accession,TPH2_HUMAN,BE0000080
HUGO Gene Nomenclature Committee (HGNC),HGNC:12729,BE0000228
GenAtlas,WARS,BE0000228
GenBank Gene Database,M77804,BE0000228
GenBank Protein Database,184657,BE0000228
UniProtKB,P23381,BE0000228
UniProt Accession,SYWC_HUMAN,BE0000228
HUGO Gene Nomenclature Committee (HGNC),HGNC:6059,BE0000693
GenAtlas,INDO,BE0000693
GenBank Gene Database,M34455,BE0000693
GenBank Protein Database,306956,BE0000693
Guide to Pharmacology,2829,BE0000693
UniProtKB,P14902,BE0000693
UniProt Accession,I23O1_HUMAN,BE0000693
HUGO Gene Nomenclature Committee (HGNC),HGNC:2644,BE0004673
UniProtKB,P13584,BE0004673
UniProt Accession,CP4B1_HUMAN,BE0004673
HUGO Gene Nomenclature Committee (HGNC),HGNC:17358,BE0000157
GenAtlas,TPK1,BE0000157
GenBank Gene Database,AB028138,BE0000157
GenBank Protein Database,12248915,BE0000157
UniProtKB,Q9H3S4,BE0000157
UniProt Accession,TPK1_HUMAN,BE0000157
HUGO Gene Nomenclature Committee (HGNC),HGNC:3367,BE0009876
UniProtKB,O75356,BE0009876
UniProt Accession,ENTP5_HUMAN,BE0009876
HUGO Gene Nomenclature Committee (HGNC),HGNC:18987,BE0009877
UniProtKB,Q9BU02,BE0009877
UniProt Accession,THTPA_HUMAN,BE0009877
HUGO Gene Nomenclature Committee (HGNC),HGNC:20580,BE0000524
GenAtlas,CYP2R1,BE0000524
GenBank Gene Database,AY323817,BE0000524
GenBank Protein Database,33591222,BE0000524
UniProtKB,Q6VVX0,BE0000524
UniProt Accession,CP2R1_HUMAN,BE0000524
HUGO Gene Nomenclature Committee (HGNC),HGNC:10293,BE0009671
UniProtKB,Q96AT9,BE0009671
UniProt Accession,RPE_HUMAN,BE0009671
HUGO Gene Nomenclature Committee (HGNC),HGNC:2590,BE0003537
GenBank Gene Database,M14565,BE0003537
