resource,identifier,parent_key
HUGO Gene Nomenclature Committee (HGNC),HGNC:10969,BE0000106
GenAtlas,SLC22A5,BE0000106
GenBank Gene Database,AF057164,BE0000106
GenBank Protein Database,3273741,BE0000106
UniProtKB,O76082,BE0000106
UniProt Accession,S22A5_HUMAN,BE0000106
HUGO Gene Nomenclature Committee (HGNC),HGNC:10968,BE0000757
GenAtlas,SLC22A4,BE0000757
GenBank Gene Database,AB007448,BE0000757
GenBank Protein Database,2605501,BE0000757
UniProtKB,Q9H015,BE0000757
UniProt Accession,S22A4_HUMAN,BE0000757
HUGO Gene Nomenclature Committee (HGNC),HGNC:18798,BE0001059
GenAtlas,SLC44A1,BE0001059
GenBank Gene Database,AJ245620,BE0001059
GenBank Protein Database,19571182,BE0001059
Guide to Pharmacology,1204,BE0001059
UniProtKB,Q8WWI5,BE0001059
UniProt Accession,CTL1_HUMAN,BE0001059
HUGO Gene Nomenclature Committee (HGNC),HGNC:13941,BE0002182
GenAtlas,SLC44A4,BE0002182
GenBank Gene Database,AK027397,BE0002182
GenBank Protein Database,14042044,BE0002182
UniProtKB,Q53GD3,BE0002182
UniProt Accession,CTL4_HUMAN,BE0002182
HUGO Gene Nomenclature Committee (HGNC),HGNC:17292,BE0002183
GenAtlas,SLC44A2,BE0002183
GenBank Gene Database,AJ245621,BE0002183
GenBank Protein Database,6996444,BE0002183
UniProtKB,Q8IWA5,BE0002183
UniProt Accession,CTL2_HUMAN,BE0002183
HUGO Gene Nomenclature Committee (HGNC),HGNC:28689,BE0002184
GenAtlas,SLC44A3,BE0002184
GenBank Gene Database,AC093429,BE0002184
UniProtKB,Q8N4M1,BE0002184
UniProt Accession,CTL3_HUMAN,BE0002184
HUGO Gene Nomenclature Committee (HGNC),HGNC:14025,BE0000696
GenAtlas,SLC5A7,BE0000696
GenBank Gene Database,AF276871,BE0000696
GenBank Protein Database,10998442,BE0000696
Guide to Pharmacology,914,BE0000696
UniProtKB,Q9GZV3,BE0000696
UniProt Accession,SC5A7_HUMAN,BE0000696
HUGO Gene Nomenclature Committee (HGNC),HGNC:10974,BE0000168
GenAtlas,SLC23A1,BE0000168
GenBank Gene Database,AF058317,BE0000168
GenBank Protein Database,3789785,BE0000168
Guide to Pharmacology,1041,BE0000168
UniProtKB,Q9UHI7,BE0000168
UniProt Accession,S23A1_HUMAN,BE0000168
HUGO Gene Nomenclature Committee (HGNC),HGNC:10973,BE0009869
UniProtKB,Q9UGH3,BE0009869
UniProt Accession,S23A2_HUMAN,BE0009869
HUGO Gene Nomenclature Committee (HGNC),HGNC:11005,BE0001057
GenAtlas,SLC2A1,BE0001057
GenBank Gene Database,K03195,BE0001057
GenBank Protein Database,183303,BE0001057
UniProtKB,P11166,BE0001057
UniProt Accession,GTR1_HUMAN,BE0001057
HUGO Gene Nomenclature Committee (HGNC),HGNC:11007,BE0004707
UniProtKB,P11169,BE0004707
UniProt Accession,GTR3_HUMAN,BE0004707
HUGO Gene Nomenclature Committee (HGNC),HGNC:11009,BE0000893
GenAtlas,SLC2A4,BE0000893
GenBank Gene Database,M20747,BE0000893
GenBank Protein Database,307076,BE0000893
UniProtKB,P14672,BE0000893
UniProt Accession,GTR4_HUMAN,BE0000893
HUGO Gene Nomenclature Committee (HGNC),HGNC:13447,BE0009870
UniProtKB,Q9H2H9,BE0009870
UniProt Accession,S38A1_HUMAN,BE0009870
HUGO Gene Nomenclature Committee (HGNC),HGNC:13448,BE0009871
UniProtKB,Q96QD8,BE0009871
UniProt Accession,S38A2_HUMAN,BE0009871
HUGO Gene Nomenclature Committee (HGNC),HGNC:18044,BE0000285
GenAtlas,SLC38A3,BE0000285
GenBank Gene Database,AF244548,BE0000285
GenBank Protein Database,10242111,BE0000285
UniProtKB,Q99624,BE0000285
UniProt Accession,S38A3_HUMAN,BE0000285
HUGO Gene Nomenclature Committee (HGNC),HGNC:10943,BE0000236
GenAtlas,SLC1A5,BE0000236
GenBank Gene Database,U53347,BE0000236
GenBank Protein Database,1478281,BE0000236
Guide to Pharmacology,874,BE0000236
UniProtKB,Q15758,BE0000236
UniProt Accession,AAAT_HUMAN,BE0000236
HUGO Gene Nomenclature Committee (HGNC),HGNC:11047,BE0000423
GenAtlas,SLC6A14,BE0000423
GenBank Gene Database,AF151978,BE0000423
GenBank Protein Database,5732680,BE0000423
Guide to Pharmacology,937,BE0000423
UniProtKB,Q9UN76,BE0000423
UniProt Accession,S6A14_HUMAN,BE0000423
HUGO Gene Nomenclature Committee (HGNC),HGNC:11065,BE0004769
UniProtKB,Q9UM01,BE0004769
UniProt Accession,YLAT1_HUMAN,BE0004769
HUGO Gene Nomenclature Committee (HGNC),HGNC:11064,BE0009872
UniProtKB,Q92536,BE0009872
UniProt Accession,YLAT2_HUMAN,BE0009872
HUGO Gene Nomenclature Committee (HGNC),HGNC:11063,BE0000222
GenAtlas,SLC7A5,BE0000222
GenBank Gene Database,AF077866,BE0000222
GenBank Protein Database,3639058,BE0000222
UniProtKB,Q01650,BE0000222
UniProt Accession,LAT1_HUMAN,BE0000222
HUGO Gene Nomenclature Committee (HGNC),HGNC:11066,BE0000789
GenAtlas,SLC7A8,BE0000789
GenBank Gene Database,AF171669,BE0000789
GenBank Protein Database,6642960,BE0000789
UniProtKB,Q9UHI5,BE0000789
UniProt Accession,LAT2_HUMAN,BE0000789
HUGO Gene Nomenclature Committee (HGNC),HGNC:11067,BE0002251
GenAtlas,SLC7A9,BE0002251
GenBank Gene Database,AF141289,BE0002251
GenBank Protein Database,5916108,BE0002251
UniProtKB,P82251,BE0002251
UniProt Accession,BAT1_HUMAN,BE0002251
HUGO Gene Nomenclature Committee (HGNC),HGNC:10923,BE0000178
GenAtlas,SLC16A2,BE0000178
GenBank Gene Database,U05321,BE0000178
GenBank Protein Database,458255,BE0000178
UniProtKB,P36021,BE0000178
UniProt Accession,MOT8_HUMAN,BE0000178
HUGO Gene Nomenclature Committee (HGNC),HGNC:11025,BE0001130
GenAtlas,SLC3A1,BE0001130
GenBank Gene Database,M95548,BE0001130
GenBank Protein Database,306442,BE0001130
UniProtKB,Q07837,BE0001130
UniProt Accession,SLC31_HUMAN,BE0001130
HUGO Gene Nomenclature Committee (HGNC),HGNC:10972,BE0003645
GenBank Gene Database,AF097491,BE0003645
GenBank Protein Database,4378059,BE0003645
Guide to Pharmacology,1027,BE0003645
UniProtKB,Q8TCC7,BE0003645
UniProt Accession,S22A8_HUMAN,BE0003645
HUGO Gene Nomenclature Committee (HGNC),HGNC:10980,BE0002261
GenAtlas,SLC25A10,BE0002261
GenBank Gene Database,AJ131612,BE0002261
GenBank Protein Database,6224534,BE0002261
UniProtKB,Q9UBX3,BE0002261
UniProt Accession,DIC_HUMAN,BE0002261
HUGO Gene Nomenclature Committee (HGNC),HGNC:10916,BE0000022
GenAtlas,SLC13A1,BE0000022
GenBank Gene Database,AF260824,BE0000022
GenBank Protein Database,12620132,BE0000022
UniProtKB,Q9BZW2,BE0000022
UniProt Accession,S13A1_HUMAN,BE0000022
HUGO Gene Nomenclature Committee (HGNC),HGNC:10917,BE0000447
GenAtlas,SLC13A2,BE0000447
GenBank Gene Database,U26209,BE0000447
GenBank Protein Database,1098557,BE0000447
UniProtKB,Q13183,BE0000447
UniProt Accession,S13A2_HUMAN,BE0000447
HUGO Gene Nomenclature Committee (HGNC),HGNC:14430,BE0000611
GenAtlas,SLC13A3,BE0000611
GenBank Gene Database,AF154121,BE0000611
GenBank Protein Database,8132324,BE0000611
UniProtKB,Q8WWT9,BE0000611
UniProt Accession,S13A3_HUMAN,BE0000611
HUGO Gene Nomenclature Committee (HGNC),HGNC:10988,BE0002275
GenAtlas,SLC25A18,BE0002275
GenBank Gene Database,AJ428203,BE0002275
GenBank Protein Database,21322707,BE0002275
UniProtKB,Q9H1K4,BE0002275
UniProt Accession,GHC2_HUMAN,BE0002275
HUGO Gene Nomenclature Committee (HGNC),HGNC:19954,BE0002276
GenAtlas,SLC25A22,BE0002276
GenBank Gene Database,AJ428202,BE0002276
GenBank Protein Database,21322705,BE0002276
UniProtKB,Q9H936,BE0002276
UniProt Accession,GHC1_HUMAN,BE0002276
HUGO Gene Nomenclature Committee (HGNC),HGNC:54,BE0001061
GenAtlas,ABCC3,BE0001061
GenBank Gene Database,AB010887,BE0001061
GenBank Protein Database,3132270,BE0001061
UniProtKB,O15438,BE0001061
UniProt Accession,MRP3_HUMAN,BE0001061
HUGO Gene Nomenclature Committee (HGNC),HGNC:55,BE0001188
GenAtlas,ABCC4,BE0001188
GenBank Gene Database,AF071202,BE0001188
GenBank Protein Database,3335173,BE0001188
Guide to Pharmacology,782,BE0001188
UniProtKB,O15439,BE0001188
UniProt Accession,MRP4_HUMAN,BE0001188
HUGO Gene Nomenclature Committee (HGNC),HGNC:56,BE0003639
GenBank Gene Database,AF104942,BE0003639
GenBank Protein Database,4140698,BE0003639
Guide to Pharmacology,783,BE0003639
UniProtKB,O15440,BE0003639
UniProt Accession,MRP5_HUMAN,BE0003639
HUGO Gene Nomenclature Committee (HGNC),HGNC:18761,BE0000536
GenAtlas,SLC36A1,BE0000536
GenBank Gene Database,AF516142,BE0000536
GenBank Protein Database,31324239,BE0000536
Guide to Pharmacology,1161,BE0000536
UniProtKB,Q7Z2H8,BE0000536
UniProt Accession,S36A1_HUMAN,BE0000536
HUGO Gene Nomenclature Committee (HGNC),HGNC:11018,BE0002308
GenAtlas,SLC32A1,BE0002308
GenBank Gene Database,AY044836,BE0002308
GenBank Protein Database,17975777,BE0002308
Guide to Pharmacology,1133,BE0002308
UniProtKB,Q9H598,BE0002308
UniProt Accession,VIAAT_HUMAN,BE0002308
HUGO Gene Nomenclature Committee (HGNC),HGNC:11051,BE0002310
GenAtlas,SLC6A5,BE0002310
GenBank Gene Database,AF085412,BE0002310
GenBank Protein Database,4003525,BE0002310
Guide to Pharmacology,936,BE0002310
UniProtKB,Q9Y345,BE0002310
UniProt Accession,SC6A5_HUMAN,BE0002310
HUGO Gene Nomenclature Committee (HGNC),HGNC:11056,BE0000940
GenAtlas,SLC6A9,BE0000940
GenBank Gene Database,S70609,BE0000940
GenBank Protein Database,546769,BE0000940
Guide to Pharmacology,935,BE0000940
UniProtKB,P48067,BE0000940
UniProt Accession,SC6A9_HUMAN,BE0000940
HUGO Gene Nomenclature Committee (HGNC),HGNC:10938,BE0003530
GenBank Gene Database,AF160812,BE0003530
GenBank Protein Database,6524689,BE0003530
UniProtKB,O60779,BE0003530
UniProt Accession,S19A2_HUMAN,BE0003530
HUGO Gene Nomenclature Committee (HGNC),HGNC:16266,BE0000963
GenAtlas,SLC19A3,BE0000963
GenBank Gene Database,AF271633,BE0000963
GenBank Protein Database,12483888,BE0000963
UniProtKB,Q9BZV2,BE0000963
UniProt Accession,S19A3_HUMAN,BE0000963
HUGO Gene Nomenclature Committee (HGNC),HGNC:14639,BE0003658
GenBank Gene Database,AY040219,BE0003658
GenBank Protein Database,15027829,BE0003658
UniProtKB,Q96J66,BE0003658
UniProt Accession,ABCCB_HUMAN,BE0003658
HUGO Gene Nomenclature Committee (HGNC),HGNC:30521,BE0001048
GenAtlas,SLC46A1,BE0001048
GenBank Gene Database,AK054669,BE0001048
GenBank Protein Database,16549261,BE0001048
Guide to Pharmacology,1213,BE0001048
UniProtKB,Q96NT5,BE0001048
UniProt Accession,PCFT_HUMAN,BE0001048
HUGO Gene Nomenclature Committee (HGNC),HGNC:29683,BE0000730
GenAtlas,SLC25A32,BE0000730
GenBank Gene Database,AF283645,BE0000730
GenBank Protein Database,11545417,BE0000730
UniProtKB,Q9H2D1,BE0000730
UniProt Accession,MFTC_HUMAN,BE0000730
HUGO Gene Nomenclature Committee (HGNC),HGNC:30650,BE0009879
UniProtKB,Q9BX79,BE0009879
UniProt Accession,STRA6_HUMAN,BE0009879
HUGO Gene Nomenclature Committee (HGNC),HGNC:1664,BE0000189
GenAtlas,SCARB1,BE0000189
GenBank Gene Database,Z22555,BE0000189
GenBank Protein Database,397607,BE0000189
UniProtKB,Q8WTV0,BE0000189
UniProt Accession,SCRB1_HUMAN,BE0000189
HUGO Gene Nomenclature Committee (HGNC),HGNC:29,BE0000119
GenAtlas,ABCA1,BE0000119
GenBank Gene Database,AF275948,BE0000119
GenBank Protein Database,9247086,BE0000119
UniProtKB,O95477,BE0000119
UniProt Accession,ABCA1_HUMAN,BE0000119
HUGO Gene Nomenclature Committee (HGNC),HGNC:7898,BE0000802
GenAtlas,NPC1L1,BE0000802
GenBank Gene Database,AF192522,BE0000802
GenBank Protein Database,6643036,BE0000802
Guide to Pharmacology,2629,BE0000802
UniProtKB,Q9UHC9,BE0000802
UniProt Accession,NPCL1_HUMAN,BE0000802
HUGO Gene Nomenclature Committee (HGNC),HGNC:73,BE0001168
GenAtlas,ABCG1,BE0001168
GenBank Gene Database,X91249,BE0001168
GenBank Protein Database,1160186,BE0001168
UniProtKB,P45844,BE0001168
UniProt Accession,ABCG1_HUMAN,BE0001168
HUGO Gene Nomenclature Committee (HGNC),HGNC:438,BE0003546
GenBank Gene Database,X14174,BE0003546
GenBank Protein Database,28738,BE0003546
UniProtKB,P05186,BE0003546
UniProt Accession,PPBT_HUMAN,BE0003546
HUGO Gene Nomenclature Committee (HGNC),HGNC:18120,BE0000879
GenAtlas,SLC22A11,BE0000879
GenBank Gene Database,AB026116,BE0000879
GenBank Protein Database,7707622,BE0000879
Guide to Pharmacology,1030,BE0000879
UniProtKB,Q9NSA0,BE0000879
UniProt Accession,S22AB_HUMAN,BE0000879
HUGO Gene Nomenclature Committee (HGNC),HGNC:10962,BE0001042
GenAtlas,SLCO2B1,BE0001042
GenBank Gene Database,AB026256,BE0001042
GenBank Protein Database,5006263,BE0001042
UniProtKB,O94956,BE0001042
UniProt Accession,SO2B1_HUMAN,BE0001042
HUGO Gene Nomenclature Committee (HGNC),HGNC:10956,BE0003642
GenBank Gene Database,U21943,BE0003642
GenBank Protein Database,885978,BE0003642
UniProtKB,P46721,BE0003642
UniProt Accession,SO1A2_HUMAN,BE0003642
HUGO Gene Nomenclature Committee (HGNC),HGNC:10971,BE0003646
GenBank Gene Database,AF097518,BE0003646
GenBank Protein Database,5001689,BE0003646
UniProtKB,Q9Y694,BE0003646
UniProt Accession,S22A7_HUMAN,BE0003646
HUGO Gene Nomenclature Committee (HGNC),HGNC:10920,BE0001018
GenAtlas,SLC15A1,BE0001018
GenBank Gene Database,U13173,BE0001018
GenBank Protein Database,773588,BE0001018
Guide to Pharmacology,984,BE0001018
UniProtKB,P46059,BE0001018
UniProt Accession,S15A1_HUMAN,BE0001018
HUGO Gene Nomenclature Committee (HGNC),HGNC:10921,BE0001134
GenAtlas,SLC15A2,BE0001134
GenBank Gene Database,S78203,BE0001134
GenBank Protein Database,999213,BE0001134
UniProtKB,Q16348,BE0001134
UniProt Accession,S15A2_HUMAN,BE0001134
HUGO Gene Nomenclature Committee (HGNC),HGNC:25588,BE0003657
GenBank Gene Database,AK001709,BE0003657
GenBank Protein Database,7023138,BE0003657
Guide to Pharmacology,1216,BE0003657
UniProtKB,Q96FL8,BE0003657
UniProt Accession,S47A1_HUMAN,BE0003657
HUGO Gene Nomenclature Committee (HGNC),HGNC:26439,BE0004752
Guide to Pharmacology,1217,BE0004752
UniProtKB,Q86VL8,BE0004752
UniProt Accession,S47A2_HUMAN,BE0004752
HUGO Gene Nomenclature Committee (HGNC),HGNC:10939,BE0001054
GenAtlas,SLC1A1,BE0001054
GenBank Gene Database,U08989,BE0001054
GenBank Protein Database,507898,BE0001054
Guide to Pharmacology,870,BE0001054
UniProtKB,P43005,BE0001054
UniProt Accession,EAA3_HUMAN,BE0001054
HUGO Gene Nomenclature Committee (HGNC),HGNC:16484,BE0003672
GenBank Gene Database,AF305210,BE0003672
GenBank Protein Database,10732815,BE0003672
Guide to Pharmacology,1116,BE0003672
UniProtKB,Q9HAS3,BE0003672
UniProt Accession,S28A3_HUMAN,BE0003672
HUGO Gene Nomenclature Committee (HGNC),HGNC:13819,BE0003660
GenBank Gene Database,AF260704,BE0003660
GenBank Protein Database,7839587,BE0003660
UniProtKB,Q9NYB5,BE0003660
UniProt Accession,SO1C1_HUMAN,BE0003660
HUGO Gene Nomenclature Committee (HGNC),HGNC:46,BE0002369
GenAtlas,ABCB5,BE0002369
GenBank Gene Database,AY090613,BE0002369
UniProtKB,Q2M3G0,BE0002369
UniProt Accession,ABCB5_HUMAN,BE0002369
HUGO Gene Nomenclature Committee (HGNC),HGNC:18762,BE0004704
Guide to Pharmacology,1162,BE0004704
UniProtKB,Q495M3,BE0004704
UniProt Accession,S36A2_HUMAN,BE0004704
HUGO Gene Nomenclature Committee (HGNC),HGNC:9376,BE0004907
GenAtlas,PRKAA1,BE0004907
GenBank Gene Database,AB022017,BE0004907
GenBank Protein Database,4115829,BE0004907
Guide to Pharmacology,1541,BE0004907
UniProtKB,Q13131,BE0004907
UniProt Accession,AAPK1_HUMAN,BE0004907
HUGO Gene Nomenclature Committee (HGNC),HGNC:23612,BE0003653
GenBank Gene Database,AF401643,BE0003653
GenBank Protein Database,33308060,BE0003653
UniProtKB,Q6ZQN7,BE0003653
UniProt Accession,SO4C1_HUMAN,BE0003653
HUGO Gene Nomenclature Committee (HGNC),HGNC:10953,BE0003656
GenBank Gene Database,AB031051,BE0003656
GenBank Protein Database,6683743,BE0003656
UniProtKB,Q96BD0,BE0003656
UniProt Accession,SO4A1_HUMAN,BE0003656
HUGO Gene Nomenclature Committee (HGNC),HGNC:18057,BE0003652
GenBank Gene Database,BK001421,BE0003652
GenBank Protein Database,52078132,BE0003652
UniProtKB,Q63ZE4,BE0003652
UniProt Accession,S22AA_HUMAN,BE0003652
HUGO Gene Nomenclature Committee (HGNC),HGNC:29955,BE0003667
GenBank Gene Database,AY194243,BE0003667
GenBank Protein Database,30348899,BE0003667
UniProtKB,Q86UW1,BE0003667
UniProt Accession,OSTA_HUMAN,BE0003667
HUGO Gene Nomenclature Committee (HGNC),HGNC:29956,BE0003668
GenBank Gene Database,AY194242,BE0003668
GenBank Protein Database,30348897,BE0003668
UniProtKB,Q86UW2,BE0003668
UniProt Accession,OSTB_HUMAN,BE0003668
HUGO Gene Nomenclature Committee (HGNC),HGNC:10952,BE0003661
GenBank Gene Database,AB031050,BE0003661
GenBank Protein Database,6683741,BE0003661
UniProtKB,Q9UIG8,BE0003661
UniProt Accession,SO3A1_HUMAN,BE0003661
HUGO Gene Nomenclature Committee (HGNC),HGNC:57,BE0003640
GenBank Gene Database,AF076622,BE0003640
GenBank Protein Database,3928849,BE0003640
UniProtKB,O95255,BE0003640
UniProt Accession,MRP6_HUMAN,BE0003640
HUGO Gene Nomenclature Committee (HGNC),HGNC:23097,BE0004775
Guide to Pharmacology,1120,BE0004775
UniProtKB,Q7RTT9,BE0004775
UniProt Accession,S29A4_HUMAN,BE0004775
HUGO Gene Nomenclature Committee (HGNC),HGNC:11042,BE0000249
GenAtlas,SLC6A1,BE0000249
GenBank Gene Database,X54673,BE0000249
GenBank Protein Database,31658,BE0000249
Guide to Pharmacology,929,BE0000249
UniProtKB,P30531,BE0000249
UniProt Accession,SC6A1_HUMAN,BE0000249
HUGO Gene Nomenclature Committee (HGNC),HGNC:11044,BE0004733
UniProtKB,P48066,BE0004733
UniProt Accession,S6A11_HUMAN,BE0004733
HUGO Gene Nomenclature Committee (HGNC),HGNC:11048,BE0000486
GenAtlas,SLC6A2,BE0000486
GenBank Gene Database,M65105,BE0000486
GenBank Protein Database,189258,BE0000486
Guide to Pharmacology,926,BE0000486
UniProtKB,P23975,BE0000486
UniProt Accession,SC6A2_HUMAN,BE0000486
HUGO Gene Nomenclature Committee (HGNC),HGNC:9221,BE0003665
GenBank Gene Database,Z11898,BE0003665
GenBank Protein Database,35169,BE0003665
UniProtKB,Q01860,BE0003665
UniProt Accession,PO5F1_HUMAN,BE0003665
HUGO Gene Nomenclature Committee (HGNC),HGNC:11050,BE0000749
GenAtlas,SLC6A4,BE0000749
GenBank Gene Database,X70697,BE0000749
GenBank Protein Database,36433,BE0000749
Guide to Pharmacology,928,BE0000749
UniProtKB,P31645,BE0000749
UniProt Accession,SC6A4_HUMAN,BE0000749
HUGO Gene Nomenclature Committee (HGNC),HGNC:9841,BE0004770
UniProtKB,Q15311,BE0004770
UniProt Accession,RBP1_HUMAN,BE0004770
