category,description,parent_key
process,viral process,BE0000651
component,external side of plasma membrane,BE0002102
component,integral component of plasma membrane,BE0002102
component,intracellular,BE0002102
component,membrane,BE0002102
component,plasma membrane,BE0002102
function,cytokine receptor activity,BE0002102
function,interleukin-2 binding,BE0002102
process,activation of MAPKK activity,BE0002102
process,axon guidance,BE0002102
process,epidermal growth factor receptor signaling pathway,BE0002102
process,Fc-epsilon receptor signaling pathway,BE0002102
process,fibroblast growth factor receptor signaling pathway,BE0002102
process,immune response,BE0002102
process,innate immune response,BE0002102
process,insulin receptor signaling pathway,BE0002102
process,interleukin-2-mediated signaling pathway,BE0002102
process,interleukin-4-mediated signaling pathway,BE0002102
process,interleukin-7-mediated signaling pathway,BE0002102
process,MAPK cascade,BE0002102
process,neurotrophin TRK receptor signaling pathway,BE0002102
process,Ras protein signal transduction,BE0002102
process,signal transduction,BE0002102
process,small GTPase mediated signal transduction,BE0002102
process,vascular endothelial growth factor receptor signaling pathway,BE0002102
process,viral process,BE0002102
component,cell surface,BE0000704
component,external side of plasma membrane,BE0000704
component,extracellular region,BE0000704
component,extracellular space,BE0000704
component,integral component of plasma membrane,BE0000704
component,membrane raft,BE0000704
component,phagocytic cup,BE0000704
component,plasma membrane,BE0000704
component,recycling endosome,BE0000704
function,cytokine activity,BE0000704
function,identical protein binding,BE0000704
function,protease binding,BE0000704
function,transcription regulatory region DNA binding,BE0000704
function,tumor necrosis factor receptor binding,BE0000704
process,activation of cysteine-type endopeptidase activity involved in apoptotic process,BE0000704
process,activation of MAPK activity,BE0000704
process,activation of MAPKKK activity,BE0000704
process,cell surface receptor signaling pathway,BE0000704
process,cellular response to amino acid stimulus,BE0000704
process,cellular response to nicotine,BE0000704
process,cellular response to organic cyclic compound,BE0000704
process,chronic inflammatory response to antigenic stimulus,BE0000704
process,cortical actin cytoskeleton organization,BE0000704
process,death-inducing signaling complex assembly,BE0000704
process,defense response to Gram-positive bacterium,BE0000704
process,embryonic digestive tract development,BE0000704
process,epithelial cell proliferation involved in salivary gland morphogenesis,BE0000704
process,establishment of protein localization to plasma membrane,BE0000704
process,extracellular matrix organization,BE0000704
process,extrinsic apoptotic signaling pathway,BE0000704
process,extrinsic apoptotic signaling pathway via death domain receptors,BE0000704
process,glucose metabolic process,BE0000704
process,humoral immune response,BE0000704
process,I-kappaB kinase/NF-kappaB signaling,BE0000704
process,inflammatory response,BE0000704
process,intrinsic apoptotic signaling pathway in response to DNA damage,BE0000704
process,JNK cascade,BE0000704
process,leukocyte tethering or rolling,BE0000704
process,lipopolysaccharide-mediated signaling pathway,BE0000704
process,MAPK cascade,BE0000704
process,necroptotic signaling pathway,BE0000704
process,negative regulation of alkaline phosphatase activity,BE0000704
process,negative regulation of bicellular tight junction assembly,BE0000704
process,negative regulation of branching involved in lung morphogenesis,BE0000704
process,negative regulation of cytokine secretion involved in immune response,BE0000704
process,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,BE0000704
process,negative regulation of fat cell differentiation,BE0000704
process,negative regulation of gene expression,BE0000704
process,negative regulation of glucose import,BE0000704
process,negative regulation of growth of symbiont in host,BE0000704
process,negative regulation of interleukin-6 production,BE0000704
process,negative regulation of lipid catabolic process,BE0000704
process,negative regulation of lipid storage,BE0000704
process,negative regulation of myoblast differentiation,BE0000704
process,negative regulation of myosin-light-chain-phosphatase activity,BE0000704
process,negative regulation of osteoblast differentiation,BE0000704
process,negative regulation of protein complex disassembly,BE0000704
process,negative regulation of transcription from RNA polymerase II promoter,BE0000704
process,"negative regulation of transcription, DNA-templated",BE0000704
process,negative regulation of viral genome replication,BE0000704
process,osteoclast differentiation,BE0000704
process,positive regulation of apoptotic process,BE0000704
process,positive regulation of calcidiol 1-monooxygenase activity,BE0000704
process,positive regulation of cell adhesion,BE0000704
process,positive regulation of ceramide biosynthetic process,BE0000704
process,positive regulation of chemokine (C-X-C motif) ligand 2 production,BE0000704
process,positive regulation of chemokine biosynthetic process,BE0000704
process,positive regulation of chemokine production,BE0000704
process,positive regulation of chronic inflammatory response to antigenic stimulus,BE0000704
process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,BE0000704
process,positive regulation of cytokine production,BE0000704
process,positive regulation of cytokine secretion,BE0000704
process,positive regulation of ERK1 and ERK2 cascade,BE0000704
process,positive regulation of fever generation,BE0000704
process,positive regulation of gene expression,BE0000704
process,positive regulation of hair follicle development,BE0000704
process,positive regulation of heterotypic cell-cell adhesion,BE0000704
process,positive regulation of humoral immune response mediated by circulating immunoglobulin,BE0000704
process,positive regulation of I-kappaB kinase/NF-kappaB signaling,BE0000704
process,positive regulation of interferon-gamma production,BE0000704
process,positive regulation of interleukin-6 production,BE0000704
process,positive regulation of interleukin-8 biosynthetic process,BE0000704
process,positive regulation of interleukin-8 production,BE0000704
process,positive regulation of JUN kinase activity,BE0000704
process,positive regulation of MAP kinase activity,BE0000704
process,positive regulation of membrane protein ectodomain proteolysis,BE0000704
process,positive regulation of mononuclear cell migration,BE0000704
process,positive regulation of NF-kappaB import into nucleus,BE0000704
process,positive regulation of NF-kappaB transcription factor activity,BE0000704
process,positive regulation of NFAT protein import into nucleus,BE0000704
process,positive regulation of NIK/NF-kappaB signaling,BE0000704
process,positive regulation of nitric oxide biosynthetic process,BE0000704
process,positive regulation of osteoclast differentiation,BE0000704
process,positive regulation of peptidyl-serine phosphorylation,BE0000704
process,positive regulation of phagocytosis,BE0000704
process,positive regulation of podosome assembly,BE0000704
process,positive regulation of programmed cell death,BE0000704
process,positive regulation of protein complex assembly,BE0000704
process,positive regulation of protein complex disassembly,BE0000704
process,positive regulation of protein kinase activity,BE0000704
process,positive regulation of protein kinase B signaling,BE0000704
process,positive regulation of protein localization to cell surface,BE0000704
process,positive regulation of protein phosphorylation,BE0000704
process,positive regulation of protein transport,BE0000704
process,positive regulation of sequence-specific DNA binding transcription factor activity,BE0000704
process,positive regulation of smooth muscle cell proliferation,BE0000704
process,positive regulation of transcription from RNA polymerase II promoter,BE0000704
process,"positive regulation of transcription, DNA-templated",BE0000704
process,positive regulation of translational initiation by iron,BE0000704
process,positive regulation of vitamin D biosynthetic process,BE0000704
process,"protein import into nucleus, translocation",BE0000704
process,protein kinase B signaling,BE0000704
process,receptor biosynthetic process,BE0000704
process,regulation of branching involved in salivary gland morphogenesis,BE0000704
process,regulation of establishment of endothelial barrier,BE0000704
process,regulation of I-kappaB kinase/NF-kappaB signaling,BE0000704
process,regulation of immunoglobulin secretion,BE0000704
process,regulation of insulin secretion,BE0000704
process,regulation of tumor necrosis factor-mediated signaling pathway,BE0000704
process,response to glucocorticoid,BE0000704
process,response to salt stress,BE0000704
process,response to virus,BE0000704
process,sequestering of triglyceride,BE0000704
process,transformed cell apoptotic process,BE0000704
process,tumor necrosis factor-mediated signaling pathway,BE0000704
component,integral component of membrane,BE0002099
component,plasma membrane,BE0002099
process,immune response,BE0002099
process,regulation of immune response,BE0002099
process,signal transduction,BE0002099
process,viral process,BE0002099
component,cytoplasm,BE0002100
component,integral component of membrane,BE0002100
component,plasma membrane,BE0002100
function,transmembrane signaling receptor activity,BE0002100
process,immune response,BE0002100
process,signal transduction,BE0002100
component,extracellular space,BE0001087
component,plasma membrane,BE0001087
function,receptor binding,BE0001087
process,apoptotic process,BE0001087
process,cell-cell signaling,BE0001087
process,defense response to Gram-positive bacterium,BE0001087
process,humoral immune response,BE0001087
process,lymph node development,BE0001087
process,negative regulation of fibroblast proliferation,BE0001087
process,negative regulation of growth of symbiont in host,BE0001087
process,positive regulation of apoptotic process,BE0001087
process,positive regulation of chronic inflammatory response to antigenic stimulus,BE0001087
process,positive regulation of glial cell proliferation,BE0001087
process,positive regulation of humoral immune response mediated by circulating immunoglobulin,BE0001087
process,positive regulation of interferon-gamma production,BE0001087
process,response to drug,BE0001087
process,response to hypoxia,BE0001087
process,response to lipopolysaccharide,BE0001087
process,response to nutrient,BE0001087
process,signal transduction,BE0001087
process,tumor necrosis factor-mediated signaling pathway,BE0001087
component,collagen trimer,BE0009995
component,complement component C1 complex,BE0009995
component,extracellular exosome,BE0009995
component,extracellular region,BE0009995
process,cell-cell signaling,BE0009995
process,complement activation,BE0009995
process,"complement activation, classical pathway",BE0009995
process,innate immune response,BE0009995
component,integral component of plasma membrane,BE0000203
component,membrane,BE0000203
component,plasma membrane,BE0000203
function,gonadotropin-releasing hormone receptor activity,BE0000203
function,peptide binding,BE0000203
process,cellular response to gonadotropin-releasing hormone,BE0000203
process,G-protein coupled receptor signaling pathway,BE0000203
process,multicellular organismal development,BE0000203
component,extracellular region,BE0000385
component,extracellular space,BE0000385
component,integral component of plasma membrane,BE0000385
component,intracellular,BE0000385
component,plasma membrane,BE0000385
function,protein kinase binding,BE0000385
function,type I interferon binding,BE0000385
function,type I interferon receptor activity,BE0000385
process,cell proliferation,BE0000385
process,cell surface receptor signaling pathway,BE0000385
process,cytokine-mediated signaling pathway,BE0000385
process,JAK-STAT cascade,BE0000385
process,regulation of transcription from RNA polymerase II promoter,BE0000385
process,regulation of type I interferon-mediated signaling pathway,BE0000385
process,response to interferon-alpha,BE0000385
process,response to virus,BE0000385
process,type I interferon signaling pathway,BE0000385
component,integral component of plasma membrane,BE0000661
component,intracellular,BE0000661
component,plasma membrane,BE0000661
function,type I interferon receptor activity,BE0000661
process,cell surface receptor signaling pathway,BE0000661
process,cytokine-mediated signaling pathway,BE0000661
process,defense response to virus,BE0000661
process,JAK-STAT cascade,BE0000661
process,positive regulation of interferon-beta production,BE0000661
process,positive regulation of interferon-gamma production,BE0000661
process,positive regulation of interleukin-1 beta secretion,BE0000661
process,"positive regulation of transcription, DNA-templated",BE0000661
process,regulation of peptidyl-tyrosine phosphorylation,BE0000661
process,regulation of type I interferon-mediated signaling pathway,BE0000661
process,response to virus,BE0000661
process,T cell activation,BE0000661
process,type I interferon biosynthetic process,BE0000661
process,type I interferon signaling pathway,BE0000661
component,blood microparticle,BE0000211
component,cell surface,BE0000211
component,extracellular exosome,BE0000211
component,extracellular region,BE0000211
component,extracellular space,BE0000211
component,extrinsic component of external side of plasma membrane,BE0000211
component,plasma membrane,BE0000211
component,platelet alpha granule lumen,BE0000211
function,apolipoprotein binding,BE0000211
function,protein domain specific binding,BE0000211
function,receptor binding,BE0000211
function,serine-type endopeptidase activity,BE0000211
function,serine-type peptidase activity,BE0000211
process,blood coagulation,BE0000211
process,cellular protein metabolic process,BE0000211
process,extracellular matrix disassembly,BE0000211
process,extracellular matrix organization,BE0000211
process,fibrinolysis,BE0000211
process,negative regulation of cell proliferation,BE0000211
process,negative regulation of cell-cell adhesion mediated by cadherin,BE0000211
process,negative regulation of cell-substrate adhesion,BE0000211
process,negative regulation of fibrinolysis,BE0000211
process,platelet activation,BE0000211
process,platelet degranulation,BE0000211
process,positive regulation of fibrinolysis,BE0000211
process,proteolysis,BE0000211
process,tissue remodeling,BE0000211
component,blood microparticle,BE0000538
component,cell cortex,BE0000538
component,cell surface,BE0000538
component,external side of plasma membrane,BE0000538
component,extracellular exosome,BE0000538
component,extracellular region,BE0000538
component,extracellular space,BE0000538
component,extracellular vesicle,BE0000538
component,fibrinogen complex,BE0000538
component,plasma membrane,BE0000538
component,platelet alpha granule,BE0000538
component,platelet alpha granule lumen,BE0000538
component,rough endoplasmic reticulum,BE0000538
function,structural molecule activity,BE0000538
process,acute-phase response,BE0000538
process,adaptive immune response,BE0000538
process,blood coagulation,BE0000538
process,"blood coagulation, common pathway",BE0000538
process,"blood coagulation, fibrin clot formation",BE0000538
process,cell-matrix adhesion,BE0000538
process,cellular protein complex assembly,BE0000538
process,cellular protein metabolic process,BE0000538
process,cellular response to granulocyte colony-stimulating factor,BE0000538
process,cellular response to interleukin-6,BE0000538
process,cellular response to organic cyclic compound,BE0000538
process,extracellular matrix organization,BE0000538
process,fibrinolysis,BE0000538
process,induction of bacterial agglutination,BE0000538
process,innate immune response,BE0000538
process,liver regeneration,BE0000538
process,"negative regulation of blood coagulation, common pathway",BE0000538
process,negative regulation of endothelial cell apoptotic process,BE0000538
process,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,BE0000538
process,plasminogen activation,BE0000538
process,platelet activation,BE0000538
process,platelet aggregation,BE0000538
process,platelet degranulation,BE0000538
process,positive regulation of ERK1 and ERK2 cascade,BE0000538
process,positive regulation of exocytosis,BE0000538
process,positive regulation of heterotypic cell-cell adhesion,BE0000538
process,positive regulation of peptide hormone secretion,BE0000538
process,positive regulation of protein secretion,BE0000538
process,positive regulation of substrate adhesion-dependent cell spreading,BE0000538
process,positive regulation of vasoconstriction,BE0000538
process,protein complex assembly,BE0000538
process,protein polymerization,BE0000538
process,response to calcium ion,BE0000538
process,response to cycloheximide,BE0000538
process,response to estradiol,BE0000538
process,response to genistein,BE0000538
process,response to morphine,BE0000538
process,signal transduction,BE0000538
component,anchored component of membrane,BE0000717
component,endoplasmic reticulum lumen,BE0000717
component,endoplasmic reticulum membrane,BE0000717
component,extracellular exosome,BE0000717
component,extrinsic component of membrane,BE0000717
component,focal adhesion,BE0000717
component,integral component of membrane,BE0000717
component,integral component of plasma membrane,BE0000717
component,invadopodium membrane,BE0000717
component,plasma membrane,BE0000717
function,enzyme binding,BE0000717
function,protein domain specific binding,BE0000717
function,receptor activity,BE0000717
function,receptor binding,BE0000717
function,urokinase plasminogen activator receptor activity,BE0000717
process,attachment of GPI anchor to protein,BE0000717
process,blood coagulation,BE0000717
process,C-terminal protein lipidation,BE0000717
process,cellular protein metabolic process,BE0000717
process,chemotaxis,BE0000717
process,fibrinolysis,BE0000717
process,movement of cell or subcellular component,BE0000717
process,negative regulation of apoptotic process,BE0000717
process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,BE0000717
process,negative regulation of intrinsic apoptotic signaling pathway,BE0000717
process,positive regulation of DNA binding,BE0000717
process,positive regulation of epidermal growth factor receptor signaling pathway,BE0000717
process,positive regulation of protein phosphorylation,BE0000717
process,positive regulation of release of cytochrome c from mitochondria,BE0000717
process,post-translational protein modification,BE0000717
process,regulation of proteolysis,BE0000717
process,signal transduction,BE0000717
process,urokinase plasminogen activator signaling pathway,BE0000717
component,extracellular exosome,BE0000240
component,extracellular matrix,BE0000240
component,extracellular region,BE0000240
component,extracellular space,BE0000240
component,plasma membrane,BE0000240
component,platelet alpha granule lumen,BE0000240
function,protease binding,BE0000240
function,receptor binding,BE0000240
function,serine-type endopeptidase inhibitor activity,BE0000240
process,angiogenesis,BE0000240
process,blood coagulation,BE0000240
process,cellular response to lipopolysaccharide,BE0000240
process,chronological cell aging,BE0000240
process,circadian rhythm,BE0000240
process,defense response to Gram-negative bacterium,BE0000240
process,extracellular matrix organization,BE0000240
process,fibrinolysis,BE0000240
process,gene expression,BE0000240
process,negative regulation of blood coagulation,BE0000240
process,negative regulation of cell adhesion mediated by integrin,BE0000240
process,negative regulation of cell migration,BE0000240
process,negative regulation of endopeptidase activity,BE0000240
process,negative regulation of endothelial cell apoptotic process,BE0000240
process,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,BE0000240
process,negative regulation of fibrinolysis,BE0000240
process,negative regulation of plasminogen activation,BE0000240
process,negative regulation of smooth muscle cell migration,BE0000240
process,negative regulation of smooth muscle cell-matrix adhesion,BE0000240
process,negative regulation of vascular wound healing,BE0000240
process,negative regulation of wound healing,BE0000240
process,platelet activation,BE0000240
process,platelet degranulation,BE0000240
process,positive regulation of angiogenesis,BE0000240
process,positive regulation of blood coagulation,BE0000240
process,positive regulation of inflammatory response,BE0000240
process,positive regulation of interleukin-8 production,BE0000240
process,positive regulation of leukotriene production involved in inflammatory response,BE0000240
process,positive regulation of monocyte chemotaxis,BE0000240
process,positive regulation of receptor-mediated endocytosis,BE0000240
process,positive regulation of transcription from RNA polymerase II promoter,BE0000240
process,regulation of receptor activity,BE0000240
process,transcription initiation from RNA polymerase II promoter,BE0000240
process,"transcription, DNA-templated",BE0000240
process,transforming growth factor beta receptor signaling pathway,BE0000240
component,cell surface,BE0000625
component,cytoplasm,BE0000625
component,integral component of membrane,BE0000625
component,nuclear inner membrane,BE0000625
component,nuclear matrix,BE0000625
component,nuclear outer membrane,BE0000625
component,plasma membrane,BE0000625
component,secretory granule,BE0000625
function,G-protein coupled receptor activity,BE0000625
function,growth factor binding,BE0000625
function,growth hormone-releasing hormone receptor activity,BE0000625
function,peptide hormone binding,BE0000625
process,activation of adenylate cyclase activity,BE0000625
process,adenylate cyclase-activating G-protein coupled receptor signaling pathway,BE0000625
process,cAMP-mediated signaling,BE0000625
process,cell maturation,BE0000625
process,cell surface receptor signaling pathway,BE0000625
process,cellular response to insulin stimulus,BE0000625
process,determination of adult lifespan,BE0000625
process,growth hormone secretion,BE0000625
process,hormone metabolic process,BE0000625
process,lactation,BE0000625
process,multicellular organismal reproductive process,BE0000625
process,positive regulation of cAMP biosynthetic process,BE0000625
process,positive regulation of cell proliferation,BE0000625
process,positive regulation of growth hormone secretion,BE0000625
process,positive regulation of insulin-like growth factor receptor signaling pathway,BE0000625
process,positive regulation of multicellular organism growth,BE0000625
process,regulation of intracellular steroid hormone receptor signaling pathway,BE0000625
process,regulation of protein metabolic process,BE0000625
process,response to estrogen,BE0000625
process,response to glucocorticoid,BE0000625
process,response to insulin,BE0000625
process,somatotropin secreting cell development,BE0000625
process,water homeostasis,BE0000625
component,cytosol,BE0000654
component,extracellular region,BE0000654
component,integral component of plasma membrane,BE0000654
function,erythropoietin receptor activity,BE0000654
function,identical protein binding,BE0000654
process,brain development,BE0000654
process,decidualization,BE0000654
process,erythropoietin-mediated signaling pathway,BE0000654
process,heart development,BE0000654
